,trial,time,y_attacker,x_attacker,y_end_attacker,x_target,y_target,goal_mean,goal_upper,goal_lower,p_in,goal_upper_expand,goal_lower_expand,decision_expand,d_prime_expand
0,0.0,0.008333333333333333,-5.5,-20.0,-5.5,0.0,1.7315097451263979,0.0,4.0,-4.0,0.09587359417151264,1.7315097451263979,1.7315097451263979,correct_reject,0.0
1,0.0,0.05444444444444444,-5.5,-18.75,-5.5,0.0,-1.8181402906673974,0.0,4.0,-4.0,0.17234346951159527,1.7315097451263979,-1.8181402906673974,correct_reject,0.0
2,0.0,0.10055555555555555,-5.5,-17.5,-5.5,0.0,2.226061380437974,0.0,4.0,-4.0,0.06887032538300612,2.226061380437974,-1.8181402906673974,correct_reject,0.0
3,0.0,0.14666666666666667,-5.5,-16.25,-5.5,0.0,2.3715696482031055,0.0,4.0,-4.0,0.033312122767306496,2.3715696482031055,-1.8181402906673974,correct_reject,0.0
4,0.0,0.19277777777777777,-5.5,-15.0,-5.5,0.0,0.7405046836853728,0.0,4.0,-4.0,0.033312122767306496,2.3715696482031055,-1.8181402906673974,correct_reject,0.0
5,0.0,0.23888888888888887,-5.5,-13.75,-5.5,0.0,-0.03525063508532433,0.0,4.0,-4.0,0.033312122767306496,2.3715696482031055,-1.8181402906673974,correct_reject,0.0
6,0.0,0.28500000000000003,-5.5,-12.5,-5.5,0.0,1.8286627625739627,0.0,4.0,-4.0,0.033312122767306496,2.3715696482031055,-1.8181402906673974,correct_reject,0.0
7,0.0,0.33111111111111113,-5.5,-11.25,-5.5,0.0,-0.6057379441233071,0.0,4.0,-4.0,0.033312122767306496,2.3715696482031055,-1.8181402906673974,correct_reject,0.0
8,0.0,0.37722222222222224,-5.5,-10.0,-5.5,0.0,-3.862797909589415,0.0,4.0,-4.0,0.07188860334753532,2.3715696482031055,-3.862797909589415,correct_reject,0.0
9,0.0,0.42333333333333334,-5.5,-8.75,-5.5,0.0,-0.6956617220483166,0.0,4.0,-4.0,0.07188860334753532,2.3715696482031055,-3.862797909589415,correct_reject,0.0
10,0.0,0.46944444444444444,-5.5,-7.5,-5.5,0.0,3.1287418849751747,0.0,4.0,-4.0,0.0,3.1287418849751747,-3.862797909589415,correct_reject,0.0
11,0.0,0.5155555555555555,-5.5,-6.25,-5.5,0.0,-3.942408239932167,0.0,4.0,-4.0,0.0,3.1287418849751747,-3.942408239932167,correct_reject,0.0
12,0.0,0.5616666666666666,-5.5,-5.0,-5.5,0.0,1.123869621058546,0.0,4.0,-4.0,0.0,3.1287418849751747,-3.942408239932167,correct_reject,0.0
13,0.0,0.6077777777777778,-5.5,-3.75,-5.5,0.0,-0.33289876317402634,0.0,4.0,-4.0,0.0,3.1287418849751747,-3.942408239932167,correct_reject,0.0
14,0.0,0.6538888888888889,-5.5,-2.5,-5.5,0.0,2.1618640982818107,0.0,4.0,-4.0,0.0,3.1287418849751747,-3.942408239932167,correct_reject,0.0
15,0.0,0.7,-5.5,-1.25,-5.5,0.0,-0.13351904202574882,0.0,4.0,-4.0,0.0,3.1287418849751747,-3.942408239932167,correct_reject,0.0
0,1.0,0.008333333333333333,-4.5,-20.0,-4.5,0.0,2.254345328056761,0.0,4.0,-4.0,0.1566452724313433,2.254345328056761,2.254345328056761,correct_reject,0.0
1,1.0,0.05444444444444444,-4.5,-18.75,-4.5,0.0,-3.7278518129335465,0.0,4.0,-4.0,0.6210528317249882,2.254345328056761,-3.7278518129335465,correct_reject,0.0
2,1.0,0.10055555555555555,-4.5,-17.5,-4.5,0.0,3.7150960738686143,0.0,4.0,-4.0,0.0,3.7150960738686143,-3.7278518129335465,correct_reject,0.0
3,1.0,0.14666666666666667,-4.5,-16.25,-4.5,0.0,3.2628385181849433,0.0,4.0,-4.0,0.0,3.7150960738686143,-3.7278518129335465,correct_reject,0.0
4,1.0,0.19277777777777777,-4.5,-15.0,-4.5,0.0,3.8462368013892823,0.0,4.0,-4.0,0.0,3.8462368013892823,-3.7278518129335465,correct_reject,0.0
5,1.0,0.23888888888888887,-4.5,-13.75,-4.5,0.0,2.1854155283317755,0.0,4.0,-4.0,0.0,3.8462368013892823,-3.7278518129335465,correct_reject,0.0
6,1.0,0.28500000000000003,-4.5,-12.5,-4.5,0.0,1.9081121669787589,0.0,4.0,-4.0,0.0,3.8462368013892823,-3.7278518129335465,correct_reject,0.0
7,1.0,0.33111111111111113,-4.5,-11.25,-4.5,0.0,-2.2065808274296,0.0,4.0,-4.0,0.0,3.8462368013892823,-3.7278518129335465,correct_reject,0.0
8,1.0,0.37722222222222224,-4.5,-10.0,-4.5,0.0,2.8042407930839426,0.0,4.0,-4.0,0.0,3.8462368013892823,-3.7278518129335465,correct_reject,0.0
9,1.0,0.42333333333333334,-4.5,-8.75,-4.5,0.0,2.712681543881007,0.0,4.0,-4.0,0.0,3.8462368013892823,-3.7278518129335465,correct_reject,0.0
10,1.0,0.46944444444444444,-4.5,-7.5,-4.5,0.0,2.7964335653877113,0.0,4.0,-4.0,0.0,3.8462368013892823,-3.7278518129335465,correct_reject,0.0
11,1.0,0.5155555555555555,-4.5,-6.25,-4.5,0.0,1.0707011010519798,0.0,4.0,-4.0,0.0,3.8462368013892823,-3.7278518129335465,correct_reject,0.0
12,1.0,0.5616666666666666,-4.5,-5.0,-4.5,0.0,-0.4452572180024408,0.0,4.0,-4.0,0.0,3.8462368013892823,-3.7278518129335465,correct_reject,0.0
13,1.0,0.6077777777777778,-4.5,-3.75,-4.5,0.0,3.0982522481037567,0.0,4.0,-4.0,0.0,3.8462368013892823,-3.7278518129335465,correct_reject,0.0
14,1.0,0.6538888888888889,-4.5,-2.5,-4.5,0.0,0.7849925990641999,0.0,4.0,-4.0,0.0,3.8462368013892823,-3.7278518129335465,correct_reject,0.0
15,1.0,0.7,-4.5,-1.25,-4.5,0.0,-1.4402071775509437,0.0,4.0,-4.0,0.0,3.8462368013892823,-3.7278518129335465,correct_reject,0.0
0,2.0,0.008333333333333333,-3.5,-20.0,-3.5,0.0,1.0581386378245563,0.0,4.0,-4.0,0.430295232834493,1.0581386378245563,1.0581386378245563,miss,0.0
1,2.0,0.05444444444444444,-3.5,-18.75,-3.5,0.0,1.897954068430865,0.0,4.0,-4.0,0.36347476895976344,1.897954068430865,1.0581386378245563,miss,0.0
2,2.0,0.10055555555555555,-3.5,-17.5,-3.5,0.0,-1.8471921395898407,0.0,4.0,-4.0,0.6116653025717647,1.897954068430865,-1.8471921395898407,miss,0.0
