success,rea_time,mov_time,initPixx,t_draw,t_touched,t_go,t_disap,t_movStart,t_movEnd,t_cross,t_end,goResp,hitGoal,yDist,goalY,trajectory,posMovStart,posMovEnd,pos_vals_ 1,pos_vals_ 2,pos_vals_ 3,pos_vals_ 4,pos_vals_ 5,pos_vals_ 6,pos_vals_ 7,pos_vals_ 8,pos_vals_ 9,pos_vals_10,pos_vals_11,pos_vals_12,pos_vals_13,pos_vals_14,pos_vals_15,pos_vals_16,pos_vals_17,pos_vals_18,pos_vals_19,pos_vals_20,pos_vals_21,pos_vals_22,pos_vals_23,pos_vals_24,pos_vals_25,pos_vals_26,pos_vals_27,pos_vals_28,pos_vals_29,pos_vals_30,pos_vals_31,pos_vals_32,pos_vals_33,pos_vals_34,pos_vals_35,pos_vals_36,pos_vals_37,pos_vals_38,pos_vals_39,pos_vals_40,pos_vals_41,pos_vals_42,pos_vals_43,pos_vals_44,pos_vals_45,pos_vals_46,pos_vals_47,pos_vals_48,pos_vals_49,pos_vals_50,pos_vals_51,pos_vals_52,pos_vals_53,pos_vals_54,pos_vals_55,pos_vals_56,pos_vals_57,pos_vals_58,pos_vals_59,pos_vals_60
1,0.339923170000475,0.200061460000143,10676.96810988,10676.97601876,10946.94405216,10947.90431688,10948.3292814,10948.24424005,10948.44430151,10948.6126084,10948.61271512,1,1,-178.336446213178,400.898633158915,6,9,14,-3.94529357517136,-3.57606831114492,-5.33233967626449,-6.69506105090585,-4.60932765176569,-5.66889681306544,-4.0484397493247,-4.97390961368865,-2.27443466895152,-4.24683268926851,-6.29050393658891,-2.19157931172886,-3.03884385283395,-5.35334474523856,-8.22268867025577,-8.38141100643308,-7.24222711666389,-4.93917129330208,-7.78710672991572,-1.40991217591805,-2.79474776227387,-6.21803583486138,-8.26049104739401,-3.95087095387468,-8.04347635930563,-8.32612024571741,-5.76222834997348,-4.45514915860775,-4.32493846946722,-8.10669490791581,-1.83170336114438,-6.93316007679065,-3.62825357256542,-7.17795544301356,-2.51071999960422,-4.94212442241164,-2.42522744203743,-1.64651997402281,-5.7716983421132,-1.93367199827746,-3.5189975628474,-7.06958867547534,-7.39489999961661,-1.5005772709986,-1.73515713317296,-8.07321885772347,-2.83284976465646,-4.20272431832389,-3.11383025603304,-4.88235943062667,-2.49849275799419,-3.83788882582901,-5.06651189937872,-2.28029434343272,-3.74581381847465,-5.17861938584486,-3.21278778727107,-7.67971134982506,-5.20135718695098,-7.98180188738655
1,0.324170120000417,0.180211044998941,10948.82139372,10948.82930488,10949.66537942,10950.37076808,10950.79598504,10950.6949382,10950.875149245,10951.07916612,10951.07925472,1,1,-178.336446213178,400.898633158915,6,9,13,-1.76835410936853,-6.54309940839463,-7.71986417083434,-2.23064023560855,-2.59179079099649,-4.54777047713102,-3.39630074118073,-4.36328828175081,-5.90969753124901,-4.78139866390321,-5.17445914936237,-4.99639181630095,-3.36336349703601,-5.12051805932262,-2.27833448688657,-7.66998541753513,-2.15623392823873,-3.59967445803875,-2.07841372647175,-7.10663707436724,-3.80342116354533,-3.88047615528924,-8.29106690224596,-5.70382255402707,-6.65167467514564,-7.74719937647633,-3.33502135687385,-5.04838386736045,-3.13895198757741,-5.47084571509953,-1.68879925232963,-3.25465312662316,-1.61900745501098,-6.91568443253643,-2.33221709610954,-1.41569194869459,-8.37392662946858,-5.18136286895442,-8.01597896615567,-3.50630784664708,-7.63310844162909,-6.88199685753216,-3.12235761496775,-3.36643100023515,-7.5648374289164,-6.55478776829224,-6.19310997980926,-6.38872292481555,-4.60720250152161,-1.96191878837009,-8.46580966130174,-8.33310408859492,-8.24237574317133,-2.60586541878698,-4.45341524016346,-2.97269683944892,-1.8442520576778,-6.57173079443382,-2.53138291221278,-7.12329859138764
1,0.316707384999972,0.255482579999807,10951.28809664,10951.29598836,10952.01571265,10952.95413908,10953.37933296,10953.270846465,10953.526329045,10953.66268852,10953.66279656,1,1,-595.640546736434,609.550683420543,5,9,15,3.05233574699047,5.25066013949612,-0.893034173176277,-0.000872947872096574,4.20575783054034,-0.812043585532939,-0.53154900785232,-0.44389176268362,3.14740878640218,-1.01600607261356,5.4870980316867,4.13612564984752,3.31405355410706,0.412233310258244,-0.516572991713156,0.584529195995423,5.27724109598644,4.79289574445057,3.82795662202704,5.57795298937969,0.836478784889373,0.339162655908856,4.35178111609296,6.0126174153632,2.57426452776629,0.601703308073152,4.63122902478328,2.56848451853876,-0.137865911669211,4.6772772211767,2.37923273127576,1.19209303980299,5.21331102391719,5.37202550903178,-0.437277303156248,1.76386864948079,2.16144742614616,-0.886071919914527,-0.345740585487829,1.09811637186596,3.41528882757851,1.97304497960412,3.05261136328528,1.31490364381576,2.46581287741875,1.95303003437235,1.53355281155875,1.12365446811725,1.41362577380434,0.771156658172136,0.810665984570737,0.521986959209412,0.711912270921778,2.63029900930986,-0.995249010258688,-0.6160902935599,0.157946820257211,1.59625213924621,-0.149704318898049,2.34307902716368
1,0.280733799998416,0.291311389999464,10953.87131088,10953.87935272,10954.579969425,10955.09588768,10955.5208746,10955.37662148,10955.66793287,10955.80435784,10955.80446552,1,0,-122.695899476744,400.898633158915,7,8,15,-6.69471772226606,-7.85666811071094,-4.46147885086187,-4.65090891058711,-5.04284263217217,-6.99614992527159,-2.78370032775073,-5.91906411526431,-3.57252751040219,-2.56892014319227,-7.44220567092542,-7.71538903992972,-3.47837592507604,-5.67791904699608,-1.69204863937917,-5.69670636888502,-4.43923264486249,-5.85161178954229,-5.87882104158525,-6.92000542800653,-7.74467404524114,-6.08956953333339,-3.94777265181568,-3.47347204486783,-7.00909584745434,-4.06468988564401,-3.30296455362057,-7.00506612208281,-4.60029236110189,-3.0490855855293,-3.05597558055123,-8.4807545418472,-5.71360699829216,-8.2957597912083,-5.88976490197924,-7.58103346718573,-7.24463452235514,-7.97487716522293,-8.2252302206739,-4.64233660194243,-6.9307372566351,-2.64984204487736,-7.48108989560915,-3.29533637310885,-8.07219321704499,-2.0578899062763,-2.2261609943354,-4.54736941714985,-7.45584236383662,-3.50324443574011,-4.78762754700016,-8.02613843364988,-4.60419274024141,-8.16856299723631,-5.12332196641259,-1.51999685395926,-7.13133921878928,-7.89678237829563,-2.32896696261399,-5.45834691790572
1,0.26464922499872,0.340208110001186,10956.01300804,10956.02105432,10957.032491245,10957.73755012,10958.16259072,10958.002199345,10958.342407455,10958.44607148,10958.44618036,1,0,-122.695899476744,400.898633158915,7,7,15,-4.86416438435927,-2.53822736358496,-1.68098038355864,-7.79495180556357,-3.04144446868632,-7.60062176748201,-7.74411942131995,-5.51807612308703,-3.28069229964986,-2.90092113887298,-4.90898075646449,-3.9830486554655,-4.46315274139585,-4.97050527798715,-3.29666591365957,-3.71566165560282,-4.43439241016835,-8.01820445692577,-1.87545648499531,-1.49837792396388,-5.74795877315364,-7.5969211873497,-7.75318498655389,-6.04006129716777,-7.6535322065583,-5.53120396203001,-8.33179244316666,-5.30954745557571,-2.74556894624081,-7.98087165223331,-2.38080411115149,-7.25590993449868,-1.80554599403129,-6.72594610119945,-5.03886085084586,-5.30574818699047,-5.52111379326068,-3.77156364347397,-1.96952655648437,-7.82238573484482,-8.19745359644398,-2.10359008090546,-6.17481957175367,-3.38032557192026,-3.78639931117595,-6.86471517559629,-7.50195876913793,-5.83034469748213,-2.57434637798021,-6.40356859365607,-2.74425652867849,-7.74288337200234,-1.87361475274814,-7.40176044585936,-7.02809402403401,-4.78489629038931,-6.33397005456616,-3.88199254923444,-5.79987840654597,-8.03069372737964
1,-0.0995394800011127,0.80807472000015,10958.65468916,10958.66274432,10959.63452486,10960.16256784,10960.58763448,10960.06302836,10960.87110308,10960.87110308,10960.87121592,0,1,-456.539179895349,540,3,1,0,2.52051240693585,1.614759371954,2.31114871158185,1.71405237557946,2.59383206810686,3.1431614145704,1.70609572356537,1.26285263027868,-3.4898229948353,-0.851283973795606,-1.7455897006606,-3.26446072369255,-1.4155920782207,2.3065000869457,-3.28362801632363,-1.18087211839493,-0.344797569693633,-3.42099043441928,-3.51718957377165,2.37581811918637,-3.24630842943588,-3.51662488616198,-1.55063981557282,2.63468937898597,3.43297645981308,-1.35895966400937,-1.98996927386318,-2.01736161177216,0.529026155705205,-0.626529747009695,-1.81708667032622,-1.67382099371398,-0.66900074318264,1.21433725718468,0.100034069625426,-1.50751743385902,0.286073200017985,1.63145938232891,-3.03792119382401,-3.3586501138574,2.18329425548572,2.78408237968223,-0.484757680643632,2.99900995406485,-1.79571725749207,-3.27762373094716,2.2478274197952,-1.53326656986904,0.0268965819543041,-1.78643265229153,-2.52639870314155,-0.609962337986282,2.00904283269261,2.33263312191218,3.16162539592703,-3.55356730771938,2.10608287148374,-1.64032845767399,0.311538824082336,1.68518492459497
1,0.292863654998655,0.275102505000177,10961.07972964,10961.08776932,10961.899883185,10962.47090356,10962.89610292,10962.763767215,10963.03886972,10963.1794698,10963.17957772,1,0,-400.898633158915,470.449316579457,2,8,15,-0.862587687890513,-3.90852449280159,-4.75821472914017,-4.26362499173264,-4.27676071892477,-5.11469113257022,0.564953233793208,-4.17002107130214,-2.98938826709495,-0.610315973145749,-0.0754226372174425,-3.81487973092698,-5.05970049250241,0.158779994911418,-2.27257384273172,-4.83852807651904,-5.37375727396609,-4.84977860508024,-5.28155454157386,-5.98247287383179,-0.219113354101146,-2.10437074679866,-5.10896456560432,-4.31740452460946,0.281178645113707,-5.68195863499312,-5.05840760114717,-0.962923881270807,1.04431765403841,-4.66487084882494,-3.17487131013704,-3.9768785992067,-5.29165862337601,-1.68401188347616,-4.527395927478,-4.49448419877274,-4.73186884591553,-4.25641978065354,-3.97642729785834,-5.42378417338981,-4.74090513544334,-3.16869541125942,-4.30517953345251,0.273181382720223,-4.89502954233181,-4.59214757516985,-0.523056846926299,-6.06771123817234,-2.05972787787763,-5.78427089540532,0.534171806154006,-4.65042715906133,-5.77621920859304,-3.43543226041032,-0.953164593153921,0.552374089958466,-2.53079633855128,-3.13789250128568,-0.375420515470599,-5.98868702411795
1,NaN,NaN,10963.38806924,10963.3959042,10964.18493205,10965.14595104,10965.57114572,NaN,10965.85448016,10965.85448016,10965.8545876,0,0,-400.898633158915,400.898633158915,2,0,0,-3.24148067631891,-1.73653718210361,-6.67373554053723,-3.77429751869945,-7.72038721885605,-2.36261780129386,-6.96758058666679,-7.77612885142843,-6.72254090616852,-2.35869250484818,-5.36742048498402,-2.39173668548791,-6.95064636265992,-6.71293810353919,-3.90549899260452,-3.24777246305186,-2.43459319336327,-1.60653614752811,-4.79012214628642,-5.20487876321373,-3.73561814703149,-4.82663017648336,-8.54693676172898,-6.93490942374563,-5.84422209201751,-8.3070865354483,-5.34392803405047,-8.15089929262793,-2.57470699848638,-2.75198233703564,-8.01771872329953,-1.59244932825552,-2.39539993765111,-3.63487635486074,-7.28970702145295,-1.40242550051742,-4.60755824549963,-3.67489538344631,-4.9430582158028,-4.09647569876415,-4.87749742707614,-6.56421696805158,-7.93899552174139,-5.44240008003734,-2.32252672472915,-8.25955763336136,-4.81098274760263,-6.30475266710397,-2.62952456376706,-5.92783541751417,-5.29667882457557,-6.72403647393971,-7.27794645840511,-3.18920312702684,-8.16224539297687,-8.58915324472629,-8.15810033969094,-6.21309436481777,-4.22685643124386,-4.6257769250777
1,0.291316400000142,0.336533825000515,10966.06296788,10966.07113944,10966.415619725,10967.40432924,10967.82935716,10967.69564564,10968.032179465,10968.11283524,10968.11294352,1,1,-456.539179895349,609.550683420543,3,8,16,2.47767982425021,4.22475028926669,6.09964892302204,3.83981544008974,3.46577345770459,5.52862762337689,-0.228478651938373,0.869361928675112,3.27074444053484,4.89538585339632,5.78965510582995,1.92238416432877,5.91848803026197,1.80824642406374,4.58673269219508,3.12327272762783,0.579358919765064,1.62118842697952,4.74552353484205,4.05666592266028,-0.459023520588575,-0.376515428026945,1.47071935870731,1.72905674812567,-0.912082876646333,2.1389988181405,3.16373734346355,2.27655215927173,3.37367644754152,0.593943322528269,-0.179545218065917,5.39809017221768,1.89014291835058,4.95821493776212,3.03370981963665,5.13520516095972,1.06222068527757,1.43241390680345,-0.503318258555381,-0.530941101687682,0.227886801394083,3.20007967077595,-0.748305971956388,2.53428053020239,1.76832546090678,-0.854397466405797,1.29147172090136,1.35507306861437,1.99184691536107,0.239157179204976,0.481520311795002,-0.0498144364524959,1.02726998455394,5.58630816292491,0.768204401874939,5.76684052141101,5.49946016865496,5.6949222047939,1.43799700267584,5.95248428698553
1,0.306655970000065,0.265306560000681,10968.32135452,10968.32950028,10969.1830282,10969.9546178,10970.37937512,10970.26127377,10970.52658033,10970.662865,10970.66297316,1,0,-373.078359790698,470.449316579457,1,8,15,-1.76457274552248,-3.03398044632142,-4.97353991808453,0.786822484509917,-4.59057872244974,-0.647360154246575,-3.27447210616587,-3.25352675116138,-0.17472968593725,0.622347421552338,-3.56602605035506,-4.76590222548101,-1.7113816619488,-3.65560586361792,-2.2361682785636,-5.99229135167742,-2.47630982284713,-1.25929488137022,-4.31657915777981,-3.72735778585209,-5.71209923560872,-5.43631862168266,-2.03963805139717,-1.78781308440805,-0.695807683095604,-1.827816330117,-0.598914769130221,-2.03751990561507,-4.25086717939381,-3.33432693012104,-3.48032901299597,-2.70638656171183,-0.895610383846905,-3.32725214277597,-4.54319671793358,-0.52601264315183,0.678931554307897,-2.04924752242996,-1.30178148221277,0.492181941816977,-3.25951781178209,-1.44777690476755,0.451490820964375,-2.36292036910873,1.03769509414716,-5.40693757903732,-3.53269649887194,-4.88495741568597,-5.67214679426633,0.996526010901029,1.01045039866344,-2.89161316541635,-2.2734000861077,-0.189041469569371,-4.33331544951245,-5.31091525771305,-1.48931771365197,0.409788784457483,-2.56056927931479,-0.575273410823788
