,0
0,0.23
1,0.081
2,0.241
3,0.265
4,0.11900000000000001
5,0.258
6,0.20500000000000002
7,0.226
8,0.077
9,0.044
10,0.483
11,0.052000000000000005
12,0.10400000000000001
13,0.159
14,0.08600000000000001
15,0.11900000000000001
16,0.2
17,0.14300000000000002
18,0.198
19,0.11900000000000001
20,0.08700000000000001
21,0.434
22,0.07100000000000001
23,0.041
24,0.2
25,0.091
26,0.358
27,0.14100000000000001
28,0.234
29,0.28200000000000003
30,0.07100000000000001
31,0.192
32,0.182
33,0.263
34,0.192
35,0.16
36,0.052000000000000005
37,0.077
38,0.096
39,0.221
40,0.123
41,0.067
42,0.184
43,0.08
44,0.393
45,0.14400000000000002
46,0.063
47,0.075
48,0.18
49,0.294
50,0.251
51,0.358
52,0.333
53,0.112
54,0.057
55,0.209
56,0.08700000000000001
57,0.098
58,0.21
59,0.077
60,0.052000000000000005
61,0.098
62,0.088
63,0.59
64,0.091
65,0.273
66,0.392
67,0.083
68,0.064
69,0.17500000000000002
70,0.054
71,0.098
72,0.117
73,0.108
74,0.221
75,0.08700000000000001
76,0.121
77,0.184
78,0.055
79,0.094
80,0.068
81,0.255
82,0.314
83,0.655
84,0.107
85,0.17500000000000002
86,0.23700000000000002
87,0.09
88,0.225
89,0.178
90,0.256
91,0.179
92,0.456
93,0.147
94,0.17400000000000002
95,0.155
96,0.146
97,0.048
98,0.195
99,0.066
100,0.154
101,0.066
102,0.209
103,0.147
104,0.148
105,0.055
106,0.20400000000000001
107,0.157
108,0.041
109,0.135
110,0.317
111,0.08700000000000001
112,0.169
113,0.268
114,0.108
115,0.254
116,0.135
117,0.337
118,0.357
119,0.2
120,0.08700000000000001
121,0.094
122,0.47600000000000003
123,0.131
124,0.121
125,0.189
126,0.213
127,0.605
128,0.037
129,0.185
130,0.229
131,0.116
132,0.251
133,0.168
134,0.271
135,0.243
136,0.109
137,0.363
138,0.151
139,0.523
140,0.113
141,0.11
142,0.059000000000000004
143,0.129
144,0.234
145,0.498
146,0.122
147,0.09
