,0
0,go
1,nogo
2,nogo
3,go
4,go
5,nogo
6,nogo
7,nogo
8,nogo
9,nogo
10,nogo
11,go
12,go
13,nogo
14,nogo
15,nogo
16,nogo
17,nogo
18,nogo
19,go
20,nogo
21,nogo
22,nogo
23,go
24,nogo
25,nogo
26,nogo
27,go
28,go
29,go
30,nogo
31,nogo
32,nogo
33,nogo
34,go
35,go
36,nogo
37,nogo
38,go
39,nogo
40,go
41,nogo
42,go
43,go
44,go
45,go
46,go
47,nogo
48,go
49,go
50,nogo
51,go
52,nogo
53,go
54,nogo
55,nogo
56,nogo
57,nogo
58,go
59,nogo
60,nogo
61,go
62,nogo
63,nogo
64,nogo
65,nogo
66,go
67,nogo
68,go
69,nogo
70,nogo
71,nogo
72,go
73,nogo
74,go
75,go
76,go
77,go
78,go
79,go
80,go
81,nogo
82,go
83,go
84,go
85,go
86,go
87,nogo
88,nogo
89,nogo
90,go
91,nogo
92,go
93,go
94,nogo
95,go
96,go
97,go
98,go
99,nogo
100,go
101,nogo
102,go
103,go
104,go
105,nogo
106,go
107,go
108,go
109,nogo
110,nogo
111,nogo
112,go
113,nogo
114,nogo
115,nogo
116,go
117,go
118,go
119,nogo
120,nogo
121,go
122,go
123,go
124,go
125,go
126,go
127,nogo
128,go
129,go
130,nogo
131,go
132,go
133,nogo
134,go
135,nogo
136,nogo
137,go
138,nogo
139,go
140,go
141,go
142,go
143,nogo
144,nogo
145,nogo
146,go
147,go
148,go
149,nogo
150,go
151,nogo
152,nogo
153,nogo
154,go
155,go
156,go
157,nogo
158,go
159,go
160,nogo
161,nogo
162,go
163,go
164,go
165,go
166,nogo
167,nogo
168,nogo
169,nogo
170,go
171,nogo
172,nogo
173,go
174,nogo
175,nogo
176,nogo
177,go
178,nogo
179,go
180,nogo
181,nogo
182,nogo
183,nogo
184,nogo
185,go
186,nogo
187,nogo
188,go
189,go
190,go
191,nogo
192,go
193,go
194,nogo
195,nogo
196,go
197,nogo
198,go
199,nogo
200,nogo
201,go
202,nogo
203,nogo
204,go
205,nogo
206,go
207,nogo
208,nogo
209,nogo
210,go
211,go
212,go
213,go
214,nogo
215,nogo
216,nogo
217,nogo
218,nogo
219,nogo
220,nogo
221,go
222,nogo
223,go
224,nogo
225,go
226,nogo
227,go
228,go
229,go
230,nogo
231,nogo
232,nogo
233,go
234,nogo
235,go
236,go
237,go
238,nogo
239,nogo
240,nogo
241,nogo
242,go
243,nogo
244,go
245,nogo
246,go
247,nogo
248,nogo
249,nogo
250,go
251,go
252,nogo
253,nogo
254,nogo
255,nogo
256,nogo
257,nogo
258,go
259,go
260,go
261,go
262,go
263,go
264,nogo
265,nogo
266,nogo
267,go
268,nogo
269,go
270,nogo
271,nogo
272,nogo
273,nogo
274,nogo
275,nogo
276,go
277,go
278,go
279,nogo
280,nogo
281,go
282,go
283,nogo
284,go
285,nogo
286,nogo
287,nogo
288,nogo
289,nogo
290,go
291,nogo
292,nogo
293,go
294,nogo
295,nogo
296,nogo
297,go
298,go
299,go
300,go
301,go
302,nogo
303,go
304,nogo
305,nogo
306,go
307,nogo
308,go
309,go
310,go
311,nogo
312,nogo
313,go
314,nogo
315,go
316,nogo
317,go
318,go
319,nogo
320,nogo
321,nogo
322,nogo
323,nogo
324,go
325,go
326,nogo
327,nogo
328,nogo
329,nogo
330,go
331,go
332,nogo
333,nogo
334,go
335,go
336,nogo
337,nogo
338,nogo
339,go
340,go
341,nogo
342,nogo
343,nogo
344,nogo
345,go
346,go
347,go
348,go
349,nogo
350,nogo
351,nogo
352,nogo
353,nogo
354,nogo
355,go
356,go
357,nogo
358,nogo
359,nogo
360,go
361,go
362,nogo
363,go
364,go
365,nogo
366,go
367,nogo
368,nogo
369,nogo
370,nogo
371,nogo
372,go
373,go
374,nogo
375,go
376,nogo
377,go
378,go
379,go
380,go
381,nogo
382,nogo
383,nogo
384,nogo
385,go
386,nogo
387,go
388,go
389,nogo
390,nogo
391,nogo
392,nogo
393,go
394,nogo
395,go
396,nogo
397,nogo
398,go
399,go
400,go
401,nogo
402,nogo
403,go
404,go
405,nogo
406,nogo
407,nogo
408,go
409,nogo
410,go
411,nogo
412,go
413,go
414,go
415,nogo
416,nogo
417,go
418,nogo
419,go
420,go
421,nogo
422,nogo
423,go
424,go
425,nogo
426,go
427,go
428,go
429,go
430,go
431,nogo
432,nogo
433,nogo
434,nogo
435,nogo
436,go
437,nogo
438,nogo
439,nogo
440,go
441,go
442,go
443,nogo
444,nogo
445,go
446,nogo
447,nogo
448,nogo
449,nogo
450,go
451,nogo
452,go
453,nogo
454,go
455,nogo
456,nogo
457,nogo
458,go
459,nogo
460,nogo
461,go
462,go
463,nogo
464,nogo
465,nogo
466,go
467,go
468,nogo
469,go
470,nogo
471,nogo
472,nogo
473,go
474,nogo
475,go
476,go
477,nogo
478,go
479,nogo
480,nogo
481,nogo
482,go
483,go
484,nogo
485,go
486,nogo
487,nogo
488,go
489,go
490,go
491,go
492,nogo
493,nogo
494,nogo
495,nogo
496,nogo
497,nogo
498,go
499,go
500,go
501,nogo
502,go
503,nogo
504,nogo
505,go
506,nogo
507,nogo
508,go
509,nogo
510,go
511,go
512,nogo
513,nogo
514,nogo
515,go
516,go
517,nogo
518,nogo
