,drift_weight,threshold_drift,time_drift,nd_time
AD,4.117878789690531,0.19755089798478126,0.579259281091625,0.14212013547495697
AE,4.117878819605108,0.1975508942986212,0.5792592826636797,0.14212013399128334
AF,4.117878786409899,0.00974997506712905,0.5792592790969925,0.14212013471440338
AG,4.274046387362803,0.05855869845186013,0.26264039384635823,0.1375203144473363
