,0
649,nogo
650,nogo
651,go
652,go
653,nogo
654,nogo
655,go
656,nogo
657,go
658,nogo
659,go
660,go
661,go
662,go
663,nogo
664,go
665,go
666,go
667,go
668,go
669,nogo
670,nogo
671,nogo
672,nogo
673,nogo
674,nogo
675,go
676,nogo
677,nogo
678,go
679,nogo
680,go
681,nogo
682,go
683,go
684,nogo
685,go
686,nogo
687,go
688,go
689,go
690,go
691,go
692,go
693,go
694,nogo
695,nogo
696,nogo
697,nogo
698,go
699,go
700,nogo
701,nogo
702,nogo
703,nogo
704,nogo
705,nogo
706,nogo
707,go
708,nogo
709,go
710,go
711,nogo
712,go
713,go
714,nogo
715,go
716,go
717,nogo
718,go
719,nogo
720,nogo
721,go
722,go
723,go
724,go
725,nogo
726,nogo
727,nogo
728,nogo
729,nogo
730,go
731,go
732,go
733,nogo
734,go
735,go
736,go
737,go
738,go
739,go
740,nogo
741,go
742,nogo
743,go
744,go
745,nogo
746,nogo
747,nogo
748,go
749,go
750,go
751,nogo
752,nogo
753,nogo
754,go
755,go
756,nogo
757,nogo
758,nogo
759,go
760,go
761,go
762,nogo
763,go
764,go
765,go
766,nogo
767,go
768,go
769,go
770,nogo
771,go
772,nogo
773,nogo
774,nogo
775,nogo
776,go
777,nogo
778,nogo
779,go
780,nogo
781,go
782,go
783,go
784,go
785,go
786,go
787,go
788,go
789,go
790,nogo
791,go
792,nogo
793,nogo
794,go
795,nogo
796,nogo
797,nogo
798,go
799,go
800,nogo
801,nogo
802,go
803,go
804,nogo
805,go
806,nogo
807,go
808,nogo
809,go
810,nogo
811,go
812,go
813,nogo
814,go
815,go
816,nogo
817,nogo
818,go
819,go
820,nogo
821,nogo
822,nogo
823,nogo
824,go
825,nogo
826,go
827,go
828,go
829,go
830,go
831,go
832,go
833,nogo
834,nogo
835,go
836,go
837,nogo
838,go
839,go
840,go
841,go
842,go
843,go
844,go
845,go
846,go
847,nogo
848,nogo
849,go
850,nogo
851,go
852,nogo
853,nogo
854,go
855,nogo
856,nogo
857,nogo
858,go
859,go
860,go
861,nogo
862,go
863,nogo
864,nogo
865,nogo
866,nogo
867,nogo
868,go
869,go
870,nogo
871,go
872,nogo
873,nogo
874,go
875,nogo
876,go
877,go
878,go
879,go
880,go
881,go
882,nogo
883,go
884,nogo
885,go
886,nogo
887,nogo
888,nogo
889,go
890,go
891,nogo
892,go
893,nogo
894,nogo
895,nogo
896,nogo
897,nogo
898,go
899,nogo
900,go
901,go
902,go
903,nogo
904,go
905,go
906,go
907,nogo
908,nogo
909,nogo
910,go
911,nogo
912,go
913,nogo
914,go
915,go
916,go
917,go
918,go
919,nogo
920,nogo
921,go
922,go
923,go
924,nogo
925,go
926,go
927,go
928,go
929,go
930,go
931,go
932,nogo
933,go
934,go
935,nogo
936,nogo
937,nogo
938,go
939,go
940,go
941,nogo
942,nogo
943,go
944,go
945,nogo
946,nogo
947,nogo
948,go
949,go
950,nogo
951,go
952,nogo
953,go
954,go
955,go
956,go
957,nogo
958,nogo
959,go
960,go
961,go
962,go
963,go
964,go
965,go
966,go
967,nogo
968,nogo
969,go
970,go
971,go
972,go
973,go
974,nogo
975,nogo
976,nogo
977,go
978,go
979,nogo
980,go
981,nogo
982,nogo
983,go
984,nogo
985,go
986,nogo
987,go
988,go
989,go
990,go
991,go
992,go
993,nogo
994,go
995,nogo
996,go
997,nogo
998,go
999,nogo
