,0
0,nogo
1,nogo
2,go
3,go
4,go
5,nogo
6,nogo
7,nogo
8,nogo
9,nogo
10,nogo
11,go
12,nogo
13,nogo
14,nogo
15,nogo
16,go
17,nogo
18,nogo
19,go
20,go
21,nogo
22,nogo
23,nogo
24,nogo
25,go
26,nogo
27,go
28,go
29,nogo
30,nogo
31,nogo
32,go
33,nogo
34,go
35,go
36,go
37,go
38,nogo
39,nogo
40,go
41,nogo
42,nogo
43,go
44,go
45,nogo
46,go
47,nogo
48,nogo
49,nogo
50,nogo
51,go
52,nogo
53,go
54,nogo
55,nogo
56,nogo
57,go
58,go
59,nogo
60,go
61,go
62,go
63,nogo
64,nogo
65,go
66,nogo
67,go
68,go
69,nogo
70,go
71,nogo
72,nogo
73,nogo
74,nogo
75,go
76,nogo
77,nogo
78,go
79,nogo
80,nogo
81,go
82,go
83,go
84,go
85,go
86,nogo
87,nogo
88,nogo
89,go
90,nogo
91,go
92,go
93,nogo
94,nogo
95,nogo
96,nogo
97,nogo
98,nogo
99,nogo
100,go
101,go
102,nogo
103,nogo
104,nogo
105,nogo
106,go
107,nogo
108,go
109,go
110,nogo
111,nogo
112,nogo
113,nogo
114,go
115,go
116,nogo
117,nogo
118,go
119,nogo
120,nogo
121,go
122,go
123,nogo
124,go
125,nogo
126,go
127,nogo
128,nogo
129,nogo
130,go
131,go
132,go
133,go
134,nogo
135,nogo
136,nogo
137,go
138,go
139,nogo
140,nogo
141,nogo
142,nogo
143,nogo
144,nogo
145,nogo
146,nogo
147,nogo
148,go
149,nogo
150,go
151,nogo
152,nogo
153,go
154,go
155,go
156,go
157,go
158,nogo
159,nogo
160,go
161,go
162,go
163,go
164,nogo
165,nogo
166,nogo
167,nogo
168,nogo
169,nogo
170,go
171,go
172,nogo
173,nogo
174,nogo
175,nogo
176,go
177,nogo
178,nogo
179,go
180,nogo
181,nogo
182,nogo
183,nogo
184,nogo
185,nogo
186,go
187,go
188,go
189,go
190,go
191,nogo
192,nogo
193,nogo
194,nogo
195,nogo
196,go
197,nogo
198,go
199,nogo
200,go
201,go
202,go
203,nogo
204,go
205,go
206,nogo
207,nogo
208,nogo
209,go
210,nogo
211,go
212,go
213,go
214,go
215,nogo
216,nogo
217,nogo
218,nogo
219,go
220,go
221,go
222,nogo
223,nogo
224,go
225,go
226,nogo
227,nogo
228,nogo
229,nogo
230,go
231,nogo
232,nogo
233,go
234,go
235,go
236,go
237,go
238,go
239,nogo
240,nogo
241,nogo
242,go
243,nogo
244,go
245,go
246,go
247,nogo
248,go
249,nogo
250,go
251,nogo
252,nogo
253,go
254,nogo
255,nogo
256,nogo
257,nogo
258,go
259,go
260,go
261,go
262,go
263,nogo
264,nogo
265,go
266,go
267,go
268,go
269,nogo
270,nogo
271,go
272,nogo
273,go
274,go
275,go
276,go
277,go
278,nogo
279,nogo
280,go
281,go
282,go
283,go
284,nogo
285,go
286,nogo
287,nogo
288,nogo
289,nogo
290,go
291,nogo
292,go
293,go
294,nogo
295,go
296,nogo
297,nogo
298,go
299,go
300,go
301,nogo
302,go
303,nogo
304,nogo
305,nogo
306,go
307,nogo
308,go
309,nogo
310,go
311,nogo
312,nogo
313,go
314,nogo
315,go
316,nogo
317,go
318,go
319,go
320,nogo
321,go
322,nogo
323,nogo
324,go
325,go
326,nogo
327,nogo
328,nogo
329,nogo
330,go
331,go
332,nogo
333,nogo
334,nogo
335,nogo
336,go
337,nogo
338,nogo
339,go
340,go
341,go
342,nogo
343,go
344,nogo
345,nogo
346,go
347,go
348,nogo
349,nogo
350,nogo
351,nogo
352,nogo
353,go
354,nogo
355,go
356,go
357,nogo
358,go
359,go
360,nogo
361,nogo
362,nogo
363,go
364,nogo
365,nogo
366,go
367,nogo
368,nogo
369,go
370,go
371,nogo
372,go
373,go
374,go
375,nogo
376,nogo
377,go
378,go
379,go
380,go
381,nogo
382,nogo
383,nogo
384,nogo
385,nogo
386,nogo
387,go
388,go
389,nogo
390,go
391,nogo
392,nogo
393,go
394,nogo
395,go
396,nogo
397,nogo
398,go
399,nogo
400,nogo
401,nogo
402,nogo
403,go
404,nogo
405,go
406,nogo
407,nogo
408,go
409,go
410,go
411,go
412,nogo
413,nogo
414,nogo
415,nogo
416,go
417,nogo
418,nogo
419,go
420,go
421,go
422,nogo
423,nogo
424,nogo
425,nogo
426,go
427,go
428,go
429,go
430,go
431,nogo
432,nogo
433,nogo
434,nogo
435,go
436,go
437,go
438,go
439,nogo
440,nogo
441,go
442,go
443,go
444,go
445,go
446,nogo
447,go
448,nogo
449,nogo
450,nogo
451,go
452,go
453,nogo
454,nogo
455,nogo
456,nogo
457,nogo
458,go
459,nogo
460,go
461,go
462,nogo
463,go
464,go
465,go
466,go
467,go
468,nogo
469,nogo
470,nogo
471,go
472,nogo
473,go
474,nogo
475,nogo
476,go
477,go
478,nogo
479,nogo
480,nogo
481,nogo
482,go
483,go
484,go
485,go
486,nogo
487,nogo
488,nogo
489,nogo
490,go
491,go
492,nogo
493,nogo
494,go
495,go
496,nogo
497,nogo
498,go
499,go
500,go
501,nogo
502,go
503,nogo
504,nogo
505,nogo
506,nogo
507,go
508,go
509,nogo
510,nogo
511,nogo
512,nogo
513,go
514,go
515,nogo
516,go
517,go
518,nogo
519,nogo
520,nogo
521,go
522,go
523,nogo
524,go
525,go
526,nogo
527,nogo
528,nogo
529,go
530,go
531,nogo
532,go
533,go
534,go
535,go
536,go
537,nogo
538,nogo
539,go
540,go
541,nogo
542,go
543,nogo
544,go
545,go
546,nogo
547,go
548,nogo
549,nogo
550,nogo
551,nogo
552,nogo
553,nogo
554,go
555,go
556,go
557,go
558,go
559,go
560,nogo
561,go
562,go
563,go
564,nogo
565,go
566,go
567,nogo
568,nogo
569,nogo
570,nogo
571,go
572,nogo
573,nogo
574,nogo
575,nogo
576,go
577,go
578,nogo
579,go
580,go
581,nogo
582,nogo
583,nogo
584,nogo
585,nogo
586,nogo
587,go
588,go
589,nogo
590,nogo
591,nogo
592,go
593,go
594,nogo
595,go
596,go
597,go
598,go
599,nogo
600,nogo
601,nogo
602,nogo
603,go
604,go
605,nogo
606,go
607,go
608,go
609,nogo
610,go
611,go
612,go
613,go
614,nogo
615,go
616,nogo
617,go
618,go
619,nogo
620,go
621,go
622,nogo
623,nogo
624,go
625,nogo
626,go
627,go
628,go
629,nogo
630,go
631,go
632,go
633,go
634,nogo
635,go
636,nogo
637,nogo
638,nogo
639,nogo
640,nogo
641,go
642,nogo
643,go
644,go
