,0
0,0.157
1,0.048
2,0.309
3,0.263
4,0.147
5,0.037
6,0.1
7,0.056
8,0.062
9,0.232
10,0.262
11,0.073
12,0.185
13,0.267
14,0.09
15,0.279
16,0.163
17,0.132
18,0.127
19,0.096
20,0.134
21,0.046
22,0.07100000000000001
23,0.194
24,0.136
25,0.312
26,0.199
27,0.253
28,0.123
29,0.117
30,0.18
31,0.024
32,0.17400000000000002
33,0.216
34,0.176
35,0.12
36,0.41600000000000004
37,0.25
38,0.069
39,0.159
40,0.369
41,0.129
42,0.092
43,0.098
44,0.127
45,0.136
46,0.138
47,0.107
48,0.257
49,0.111
50,0.077
51,0.267
52,0.28
53,0.075
54,0.066
55,0.158
56,0.066
57,0.076
58,0.27
59,0.187
60,0.096
61,0.114
62,0.045
63,0.096
64,0.269
65,0.079
66,0.112
67,0.278
68,0.16
69,0.589
70,0.053
71,0.08700000000000001
72,0.113
73,0.035
74,0.052000000000000005
75,0.312
76,0.181
77,0.295
78,0.07100000000000001
79,0.10400000000000001
80,0.05
81,0.092
82,0.107
83,0.055
84,0.522
85,0.091
86,0.066
87,0.217
88,0.257
89,0.113
90,0.193
91,0.08700000000000001
92,0.046
93,0.031
94,0.147
95,0.136
96,0.117
97,0.13
98,0.057
99,0.291
100,0.231
101,0.40800000000000003
102,0.062
103,0.151
104,0.156
105,0.116
106,0.11800000000000001
107,0.088
108,0.164
109,0.507
110,0.14400000000000002
111,0.255
112,0.20600000000000002
113,0.216
114,0.677
115,0.127
116,0.154
117,0.203
118,0.089
119,0.051000000000000004
120,0.049
121,0.08600000000000001
122,0.192
123,0.101
124,0.065
125,0.039
126,0.213
127,0.261
128,0.05
129,0.111
130,0.168
131,0.492
132,0.213
133,0.275
134,0.327
135,0.386
136,0.084
137,0.17400000000000002
138,0.11900000000000001
139,0.116
140,0.151
141,0.126
142,0.135
143,0.165
144,0.075
145,0.225
146,0.075
147,0.182
148,0.23900000000000002
149,0.095
150,0.241
151,0.116
152,0.197
153,0.184
154,0.20400000000000001
155,0.07200000000000001
156,0.129
157,0.304
158,0.064
159,0.066
160,0.081
161,0.147
162,0.10400000000000001
163,0.308
164,0.053
165,0.085
166,0.20800000000000002
167,0.161
168,0.112
169,0.276
170,0.519
171,0.3667140528498423
172,0.281
173,0.273
174,0.139
175,0.079
176,0.085
177,0.076
178,0.201
179,0.137
180,0.6900000000000001
181,0.044
182,0.186
183,0.107
184,0.14
185,0.096
186,0.193
187,0.27
188,0.155
189,0.17
