,Estimate,2.5_ci,97.5_ci,SE,DF,T-stat,P-val,Sig
(Intercept),0.5550489241584959,0.4919090209117453,0.6181888274052465,0.03221482830541282,3.0065931244917348,17.22960988326097,0.00042056399348301395,***
sampleProbHit_01,-0.03375168526513763,-0.03656282566177225,-0.030940544868503016,0.0014342816596674898,4743.136352126327,-23.532118003211657,6.648709740797583e-116,***
sampleProbHit_03,0.00745688802398432,0.004833372167356976,0.010080403880611663,0.0013385530945064818,4743.046253061314,5.570857110254292,2.6749090500588556e-08,***
sampleProbHit_06,0.0034482765676144044,0.000935218875222387,0.005961334260006421,0.001282195852686425,4743.012539969435,2.689352457652753,0.007184128575231783,**
