,Estimate,2.5_ci,97.5_ci,SE,OR,OR_2.5_ci,OR_97.5_ci,Prob,Prob_2.5_ci,Prob_97.5_ci,Z-stat,P-val,Sig
(Intercept),-0.5894619460372772,-1.1813275716442706,0.0024036795697162106,0.30197780687581716,0.5546256229805441,0.30687107472225394,1.0024065707234582,0.3567583183899994,0.2348135792870559,0.5006009196031026,-1.9520041957244978,0.050937706476099465,.
sampleProbHit_01,1.2340245781834653,1.1484432616837752,1.3196058946831555,0.04366473933946987,3.435026286469518,3.153280254628533,3.741946365666942,0.7745221932391194,0.7592264574764557,0.7891161301949158,28.26135222266158,1.0323542110035123e-175,***
sampleProbHit_02,1.0669686130657126,0.9829855045428335,1.1509517215885916,0.042849312122736474,2.906555238285478,2.672422874435274,3.161200060821199,0.7440200025332591,0.7277002038732332,0.759684709847223,24.900484050000966,7.350878424279298e-137,***
sampleProbHit_03,0.46106227746373407,0.3800436193349285,0.5420809355925397,0.04133680963929464,1.585757605167191,1.4623483747066173,1.7195814799261366,0.6132661476073116,0.5938836233442607,0.6322963634731179,11.153794438587967,6.861655565252899e-29,***
hitGoal,1.0056292062523893,0.83286845552912,1.1783899569756586,0.08814485984741764,2.7336267468581146,2.2999064668681246,3.249138736199988,0.7321639071603742,0.696961107825253,0.7646581902632105,11.408824155976589,3.778017879311944e-30,***
