,Unnamed: 0,trial,time,y_attacker,x_attacker,y_end_attacker,x_target,y_target,goal_mean,goal_upper,goal_lower,p_in,goal_upper_expand,goal_lower_expand,decision_expand,d_prime_expand,p_in_diff
0,0,0.0,0.008333333333333333,-5.5,-20.0,-5.5,0.0,1.731509745126398,0.0,4.0,-4.0,0.09606128185920026,1.731509745126398,1.731509745126398,correct_reject,0.0,0.09606128185920026
1,1,0.0,0.054444444444444434,-5.5,-18.75,-5.5,0.0,-1.8181402906673971,0.0,4.0,-4.0,0.17268085904580655,1.731509745126398,-1.8181402906673971,correct_reject,0.0,0.07661957718660628
2,2,0.0,0.10055555555555556,-5.5,-17.5,-5.5,0.0,2.226061380437974,0.0,4.0,-4.0,0.06924989516302582,2.226061380437974,-1.8181402906673971,correct_reject,0.0,0.10343096388278072
3,3,0.0,0.14666666666666667,-5.5,-16.25,-5.5,0.0,2.371569648203105,0.0,4.0,-4.0,0.033706187648828045,2.371569648203105,-1.8181402906673971,correct_reject,0.0,0.035543707514197775
4,4,0.0,0.19277777777777774,-5.5,-15.0,-5.5,0.0,0.7405046836853728,0.0,4.0,-4.0,0.033706187648828045,2.371569648203105,-1.8181402906673971,correct_reject,0.0,0.0
5,5,0.0,0.2388888888888889,-5.5,-13.75,-5.5,0.0,-0.03525063508532433,0.0,4.0,-4.0,0.033706187648828045,2.371569648203105,-1.8181402906673971,correct_reject,0.0,0.0
6,6,0.0,0.28500000000000003,-5.5,-12.5,-5.5,0.0,1.8286627625739629,0.0,4.0,-4.0,0.033706187648828045,2.371569648203105,-1.8181402906673971,correct_reject,0.0,0.0
7,7,0.0,0.33111111111111113,-5.5,-11.25,-5.5,0.0,-0.6057379441233071,0.0,4.0,-4.0,0.033706187648828045,2.371569648203105,-1.8181402906673971,correct_reject,0.0,0.0
8,8,0.0,0.37722222222222224,-5.5,-10.0,-5.5,0.0,-3.8627979095894154,0.0,4.0,-4.0,0.07273900769308794,2.371569648203105,-3.8627979095894154,correct_reject,0.0,0.0390328200442599
9,9,0.0,0.4233333333333333,-5.5,-8.75,-5.5,0.0,-0.6956617220483166,0.0,4.0,-4.0,0.07273900769308794,2.371569648203105,-3.8627979095894154,correct_reject,0.0,0.0
10,10,0.0,0.4694444444444445,-5.5,-7.5,-5.5,0.0,3.1287418849751747,0.0,4.0,-4.0,0.0,3.1287418849751747,-3.8627979095894154,correct_reject,0.0,0.07273900769308794
11,11,0.0,0.5155555555555555,-5.5,-6.25,-5.5,0.0,-3.942408239932167,0.0,4.0,-4.0,0.0,3.1287418849751747,-3.942408239932167,correct_reject,0.0,0.0
12,12,0.0,0.5616666666666666,-5.5,-5.0,-5.5,0.0,1.123869621058546,0.0,4.0,-4.0,0.0,3.1287418849751747,-3.942408239932167,correct_reject,0.0,0.0
13,13,0.0,0.6077777777777778,-5.5,-3.75,-5.5,0.0,-0.33289876317402634,0.0,4.0,-4.0,0.0,3.1287418849751747,-3.942408239932167,correct_reject,0.0,0.0
14,14,0.0,0.6538888888888889,-5.5,-2.5,-5.5,0.0,2.1618640982818107,0.0,4.0,-4.0,0.0,3.1287418849751747,-3.942408239932167,correct_reject,0.0,0.0
15,15,0.0,0.7,-5.5,-1.25,-5.5,0.0,-0.13351904202574882,0.0,4.0,-4.0,0.0,3.1287418849751747,-3.942408239932167,correct_reject,0.0,0.0
16,0,1.0,0.008333333333333333,-4.5,-20.0,-4.5,0.0,2.2543453280567607,0.0,4.0,-4.0,0.15570683399290486,2.2543453280567607,2.2543453280567607,correct_reject,0.0,0.15570683399290486
17,1,1.0,0.054444444444444434,-4.5,-18.75,-4.5,0.0,-3.7278518129335465,0.0,4.0,-4.0,0.6173321969394909,2.2543453280567607,-3.7278518129335465,correct_reject,0.0,0.46162536294658607
18,2,1.0,0.10055555555555556,-4.5,-17.5,-4.5,0.0,3.7150960738686143,0.0,4.0,-4.0,0.0,3.7150960738686143,-3.7278518129335465,correct_reject,0.0,0.6173321969394909
19,3,1.0,0.14666666666666667,-4.5,-16.25,-4.5,0.0,3.2628385181849437,0.0,4.0,-4.0,0.0,3.7150960738686143,-3.7278518129335465,correct_reject,0.0,0.0
20,4,1.0,0.19277777777777774,-4.5,-15.0,-4.5,0.0,3.846236801389282,0.0,4.0,-4.0,0.0,3.846236801389282,-3.7278518129335465,correct_reject,0.0,0.0
21,5,1.0,0.2388888888888889,-4.5,-13.75,-4.5,0.0,2.1854155283317755,0.0,4.0,-4.0,0.0,3.846236801389282,-3.7278518129335465,correct_reject,0.0,0.0
22,6,1.0,0.28500000000000003,-4.5,-12.5,-4.5,0.0,1.9081121669787589,0.0,4.0,-4.0,0.0,3.846236801389282,-3.7278518129335465,correct_reject,0.0,0.0
23,7,1.0,0.33111111111111113,-4.5,-11.25,-4.5,0.0,-2.2065808274296,0.0,4.0,-4.0,0.0,3.846236801389282,-3.7278518129335465,correct_reject,0.0,0.0
24,8,1.0,0.37722222222222224,-4.5,-10.0,-4.5,0.0,2.8042407930839426,0.0,4.0,-4.0,0.0,3.846236801389282,-3.7278518129335465,correct_reject,0.0,0.0
25,9,1.0,0.4233333333333333,-4.5,-8.75,-4.5,0.0,2.712681543881007,0.0,4.0,-4.0,0.0,3.846236801389282,-3.7278518129335465,correct_reject,0.0,0.0
26,10,1.0,0.4694444444444445,-4.5,-7.5,-4.5,0.0,2.7964335653877117,0.0,4.0,-4.0,0.0,3.846236801389282,-3.7278518129335465,correct_reject,0.0,0.0
27,11,1.0,0.5155555555555555,-4.5,-6.25,-4.5,0.0,1.0707011010519798,0.0,4.0,-4.0,0.0,3.846236801389282,-3.7278518129335465,correct_reject,0.0,0.0
28,12,1.0,0.5616666666666666,-4.5,-5.0,-4.5,0.0,-0.4452572180024408,0.0,4.0,-4.0,0.0,3.846236801389282,-3.7278518129335465,correct_reject,0.0,0.0
29,13,1.0,0.6077777777777778,-4.5,-3.75,-4.5,0.0,3.0982522481037567,0.0,4.0,-4.0,0.0,3.846236801389282,-3.7278518129335465,correct_reject,0.0,0.0
30,14,1.0,0.6538888888888889,-4.5,-2.5,-4.5,0.0,0.7849925990641999,0.0,4.0,-4.0,0.0,3.846236801389282,-3.7278518129335465,correct_reject,0.0,0.0
31,15,1.0,0.7,-4.5,-1.25,-4.5,0.0,-1.4402071775509435,0.0,4.0,-4.0,0.0,3.846236801389282,-3.7278518129335465,correct_reject,0.0,0.0
32,0,2.0,0.008333333333333333,-3.5,-20.0,-3.5,0.0,1.0581386378245563,0.0,4.0,-4.0,0.43023267027193046,1.0581386378245563,1.0581386378245563,miss,0.0,0.43023267027193046
33,1,2.0,0.054444444444444434,-3.5,-18.75,-3.5,0.0,1.8979540684308651,0.0,4.0,-4.0,0.36340486845710884,1.8979540684308651,1.0581386378245563,miss,0.0,0.06682780181482162
34,2,2.0,0.10055555555555556,-3.5,-17.5,-3.5,0.0,-1.8471921395898407,0.0,4.0,-4.0,0.6115476720902089,1.8979540684308651,-1.8471921395898407,miss,0.0,0.24814280363310004
35,3,2.0,0.14666666666666667,-3.5,-16.25,-3.5,0.0,-3.1516047152232582,0.0,4.0,-4.0,0.8819175644488083,1.8979540684308651,-3.1516047152232582,miss,0.0,0.27036989235859943
36,4,2.0,0.19277777777777774,-3.5,-15.0,-3.5,0.0,-0.5900679945348584,0.0,4.0,-4.0,0.8819175644488083,1.8979540684308651,-3.1516047152232582,miss,0.0,0.0
37,5,2.0,0.2388888888888889,-3.5,-13.75,-3.5,0.0,3.836551705049328,0.0,4.0,-4.0,0.6556826650314884,3.836551705049328,-3.1516047152232582,miss,0.0,0.2262348994173199
