success,rea_time,mov_time,initPixx,t_draw,t_kbdown,t_eyesfixed,t_go,t_disap,t_movStart,t_movEnd,t_cross,t_end,goResp,hitGoal,goalY,in_out,up_down,difficulty,attackerY,posSet_ 1,posSet_ 2,posSet_ 3,posSet_ 4,posSet_ 5,posSet_ 6,posSet_ 7,posSet_ 8,posSet_ 9,posSet_10,posSet_11,posSet_12,posSet_13,posSet_14,posSet_15,posSet_16,posSet_17,posSet_18,posSet_19,posSet_20,posSet_21,posSet_22,posSet_23,posSet_24,posSet_25,posSet_26,posSet_27,posSet_28,posSet_29,posSet_30,posSet_31,posSet_32,posSet_33,posSet_34,posSet_35,posSet_36,posSet_37,posSet_38,posSet_39,posSet_40,posSet_41,posSet_42,posSet_43,posSet_44,posSet_45,posSet_46,posSet_47,posSet_48,posSet_49,posSet_50,posSet_51,posSet_52,posSet_53,posSet_54,posSet_55,posSet_56,posSet_57,posSet_58,posSet_59,posSet_60,posMovStart,posMovEnd
0,0.417010679999748,0.291276039999957,2126.86837404,2157.09621988,2157.93750388,2157.32077376,2158.67123396,2159.0960204,2159.08824464,2159.37952068,2159.37952068,2159.37999604,0,1,625.725260960204,-1,-1,0.483333333333333,-1.01666666666667,593.01213490848,722.459984261727,531.090150190072,545.791679623568,718.249187650752,628.80618123149,640.470102772345,714.88171699269,720.954031773555,548.415440042605,539.724815705296,688.577923606908,616.738040500964,689.841025027844,581.59122860847,654.426144942958,717.364058064539,606.8999697576,695.837648264687,516.435599410644,536.846309979931,696.776127035683,567.567022890668,679.670850808854,583.55979430963,612.216947284752,510.853816360126,534.080828567996,725.222316514919,691.505512103723,628.717859301551,668.146682228512,675.687201993785,549.219423426467,642.787048801898,717.577400922536,589.983060068925,696.41731155731,664.161799169501,606.719664005755,612.861397686127,523.19677582395,532.797276097103,687.711919619108,630.719705568537,607.36254508249,528.18759121454,642.856745531162,572.319093295802,586.186805711426,723.629706912384,714.371610451306,703.337213304106,716.037224328888,731.171446231681,720.123517611546,699.267787455409,696.348825719977,648.019812649734,733.960217309148,9,0
1,NaN,NaN,2159.37999604,2159.68760756,2160.6460966,2159.89587832,2161.3786562,2161.8043904,NaN,2162.08774636,2162.08774636,2162.08787288,0,1,625.725260960204,-1,1,1.13333333333333,5.36666666666667,724.376151223806,518.605698740264,703.655227290501,661.904111943938,668.824015462725,662.980021940775,644.228466753092,669.575463293639,734.032428147688,523.166033338995,708.392680694418,652.273212806712,571.669120319323,566.970130772488,739.923380106659,634.191111408015,712.827739496379,607.819121123273,687.6744770758,590.528012098029,709.032223639415,504.13793777368,545.573982621319,523.669362725503,561.950369820581,574.160916032396,699.334496704013,681.181487318575,572.915440217163,626.911235855129,523.742236570855,597.067607749379,512.298404223497,711.146894784477,507.869509449687,551.754545326733,539.898035015278,515.644724815108,538.961500980556,608.663975121549,746.099899982706,673.737182545606,640.512311620187,675.308194449162,699.590571593495,741.957953021454,624.96520924441,627.037744954864,651.965697101261,509.500317106457,690.605471385883,542.348481652498,735.61255709851,692.088957739219,726.525972086294,547.175206839365,566.838400416972,650.756502474621,699.708958448593,564.679056297317,0,0
1,0.384460359999593,0.242007360000116,2162.08787288,2162.38804248,2162.6127436,2162.52087008,2163.34481324,2163.77113136,2163.7292736,2163.97128096,2164.05448364,2164.05459744,1,0,625.725260960204,1,-1,1.35,-2.85,586.154579474517,535.746739818107,680.185101841876,554.774317655842,730.422347272852,691.609316733436,681.732471305031,545.899483841454,695.906320694454,583.833430224771,627.083929263003,748.75992199139,536.338503928838,573.626464824903,740.246629838861,734.590247597239,701.320513653621,522.713125798629,741.652099293613,709.87468204881,657.283321152808,722.438880634527,553.301169305068,525.405779501645,607.188431599551,509.707352302617,728.797026158626,740.755145156406,562.416307940429,536.225343684657,714.740012760278,739.521007828654,697.4919816017,549.77370896132,547.883577353382,602.331544971858,587.701534318273,710.275519304663,728.724503071256,692.379797844755,538.539488787654,620.721244793443,706.358716637103,550.337953927133,702.699395150224,515.903304609529,600.224213881746,646.48266090655,553.00955041422,589.011701172925,716.293214748509,529.577632364329,656.827589712302,651.64778342957,715.951766079436,693.810259808664,591.406308721282,644.659150765665,677.968876738889,648.373253811535,9,14
1,NaN,NaN,2164.05459744,2164.35471544,2165.029475,2164.54590484,2165.76151428,2166.18777276,NaN,2166.47143208,2166.47143208,2166.47160444,0,1,540,-1,-1,0.483333333333333,-3.51666666666667,550.417142322549,489.470780990486,564.355219128489,502.863345069368,558.281289936218,597.743273239657,495.047438471384,570.143873073744,456.186687497189,640.93204284845,658.488395274196,420.558179762236,641.597634763944,590.44689228196,560.465512637905,446.053936023556,467.017529998,586.765094167711,547.098452213546,568.393950586125,472.497636124704,564.474047330343,451.953544160006,538.128710838889,659.535530532192,660.330698292061,663.1056291695,543.761916180859,627.398759022937,657.52510335947,515.322593361236,654.99595695394,608.519145993994,431.3667676471,619.191641944216,540.057419032456,500.597585134029,460.572110904547,561.89107329468,632.084676357912,475.292521597354,451.500544467812,609.136192448051,585.498152695046,497.753244250617,548.368669355472,431.032308678084,494.306183051857,582.232931811029,597.674181804621,557.033478333685,622.363703952626,419.385295765191,489.898035690429,419.830120556978,608.202830324262,472.845999716752,522.941670626631,440.499435295491,419.15114120282,0,0
1,NaN,NaN,2166.47160444,2166.7714234,2167.02946908,2166.920906,2167.7616052,2168.18776816,NaN,2168.47141872,2168.47141872,2168.47153924,0,0,540,1,1,0.05,4.05,504.602809461566,650.151692370325,537.259681472738,464.582639233116,416.894637941709,448.333439567576,447.36838354822,644.402947717643,605.930083025904,595.79671081922,631.95206892338,492.61184283677,496.624393744954,502.745902780573,617.862844486681,462.51607952753,642.372350580822,607.271008741668,561.71925984308,541.948798427147,425.230377819026,416.822932894504,583.67440594642,611.222904493701,574.419762747739,597.908492220749,589.577207089049,654.585432560287,649.643796407471,554.320036213567,425.522869697627,529.170348185676,427.217314925437,451.911744300213,546.593872307176,656.844275173116,462.026369323665,625.523843869617,563.932559261712,603.687125338565,632.603337187352,638.034543348417,470.734175184174,577.859816865021,496.997607032163,571.215606212916,516.58063078853,584.645715622191,527.886742206857,526.988905073586,576.46685671926,507.889725907521,455.163186944851,449.631923254953,446.463089518707,596.349272266116,561.364760333264,524.826238536954,540.094253995292,508.599507048653,0,0
1,NaN,NaN,2168.47153924,2168.7710534,2168.77122912,2168.95429348,2169.68656592,2170.11311096,NaN,2170.39612708,2170.39612708,2170.39623176,0,0,454.274739039796,1,1,0.916666666666667,2.41666666666667,362.197027710902,387.816373297143,407.972355372919,490.77886546799,331.206125887994,367.163403651002,508.97038143068,367.672080686279,432.799895902508,468.044473485701,385.476826653384,544.983473463118,522.197959730229,385.810452029635,359.264134188033,434.272557092088,441.274358832839,337.844304731098,419.398610165746,486.984539458784,422.063196052482,390.942272132323,373.064571004019,483.095020591832,475.306090834749,528.543009414726,441.273715391438,360.925150699269,557.322722173859,477.713899413979,514.656462478061,438.78040563341,435.573149661634,449.623529864227,517.558043297592,480.418726940877,564.790774688611,543.367533022028,504.532226204505,361.725386826986,490.099544219565,374.726995557748,338.752262586586,374.238874649774,398.486023340137,334.795326686238,437.416662361945,378.900678416928,569.043520625135,478.281711328779,556.316415586104,537.952962373424,550.099331537423,536.080667237506,336.553663742451,451.836217854809,454.33149823746,410.833571941042,553.974506567628,435.429088717997,0,0
1,NaN,NaN,2170.39623176,2170.6959636,2170.69607176,2170.87929992,2171.61159276,2172.03825036,NaN,2172.32121584,2172.32121584,2172.32133672,0,0,625.725260960204,1,1,0.05,6.55,741.040063154855,614.088963996508,597.958624637607,659.797887724403,626.641077221096,588.621340136935,735.394555664718,577.06501540199,730.495421988902,603.317619703027,685.374277015904,729.612055997022,593.237980926119,518.549930449178,679.784868230307,542.243101374485,521.391779568136,569.029120545579,745.013365486409,642.945165406126,705.85160204512,685.538343941472,728.874031727594,682.095332077642,570.86350491134,710.658987577659,560.722089947036,620.279038544351,710.551939285478,521.992941525813,506.353786659339,734.099538879461,648.250189730797,658.608031951788,628.874872488194,706.245715901906,672.941950699683,607.171393494101,638.377360871335,518.979409016977,666.871208936786,629.057784564113,741.797127419449,717.780386346483,656.501965914259,686.186165292561,560.398878939899,742.4525240029,543.506628534318,580.08770303152,731.442755140185,600.034238632488,689.377305632227,598.066458848477,661.736286540793,518.639394726883,517.955605593061,560.668020568953,592.997657430689,507.025118204244,0,0
1,NaN,NaN,2172.32133672,2172.62147176,2172.6215678,2172.77936412,2173.51158688,2173.93811548,NaN,2174.2212054,2174.2212054,2174.22134092,0,0,625.725260960204,1,-1,1.78333333333333,-3.28333333333333,537.509514572912,540.084249357418,604.625081766457,537.301859733621,577.540476709472,547.531214575642,728.146555951681,723.559632392109,637.972364787276,735.218969921987,707.361920823706,558.85516718264,574.865307685988,523.24381738324,605.491229773443,687.057899069749,644.384607819322,513.61701693616,603.047767068927,706.006609614151,655.225818556884,719.967053070843,597.870791152767,601.897420258708,505.731149733185,580.221443336843,672.316366088914,508.810193686787,640.848623447195,711.225629825383,641.011954344582,644.772843547964,657.764173361853,741.787749595843,599.454642977413,728.915583309793,503.798719430149,647.508358455681,568.140234971326,504.181379711626,508.513952422582,701.360392412091,741.342820231862,576.198315930994,544.621796943378,703.292488152018,548.982961578101,615.589144624382,568.668071631303,657.770395065469,593.385188419826,720.939029236985,730.935966279972,564.834563020022,650.561976433467,582.408641531067,674.829712273974,546.229374587323,649.752033863297,702.204044330077,0,0
1,NaN,NaN,2174.22134092,2174.5214528,2174.80463164,2174.6626652,2175.53702276,2175.96285596,NaN,2176.24646524,2176.24646524,2176.24660112,0,0,454.274739039796,1,1,1.56666666666667,3.06666666666667,346.47833733993,434.631705490202,482.371976966178,338.63677147158,532.473937553744,464.612388599438,519.060618366702,406.556845134035,424.868701823459,379.716175372338,573.438055322078,391.897940975264,505.152898383046,356.266602521523,371.26396329246,489.647461645628,429.980962073934,505.225600122197,485.886690760552,510.396967342563,469.571765089657,365.997271129912,454.763485295906,384.387217453788,336.597491608956,396.788982029275,438.291521601752,344.771501205763,566.896838716527,451.665912322678,418.467508487867,533.573987924932,570.088439532454,346.161275080074,467.08683834491,372.223281731969,333.645940800667,388.43980084198,358.52330188412,468.977925984122,499.390737316679,522.155834786814,476.200070584852,508.677427494638,453.352321362006,517.737128939597,563.904332399928,429.380055894495,542.164265540921,465.125098461451,541.555742684725,430.891783034893,360.985592515978,530.251454233755,508.52573035635,504.126549248254,413.785655554245,499.96997496217,400.671300062224,368.324065869976,0,0
1,NaN,NaN,2176.24660112,2176.54653444,2176.8215092,2176.6710742,2177.55381272,2177.97954536,NaN,2178.2633176,2178.2633176,2178.26343188,0,1,625.725260960204,-1,1,1.56666666666667,4.93333333333333,655.289365823596,635.178684560517,714.138857060473,676.474150357444,538.825244424889,508.23661756291,520.54963400065,569.405139334862,523.627639760514,685.621029055446,706.721950724565,637.506760715185,583.133938339918,724.531252934862,574.564118083507,606.042648931417,678.804868619584,588.891764112422,637.25488196218,724.194403796892,507.705135166714,694.594282087718,693.431333918855,649.628448394877,523.528162825347,712.592395987554,656.344227937606,711.941760625609,601.426942433281,572.624537113253,737.527764964142,651.51759231504,649.209093809219,652.953583210951,712.715376446952,636.601368992716,687.751537129931,625.568602267307,623.586832507785,535.599906958995,536.130480885597,513.032372287181,651.752398517088,700.967721446757,671.279307453425,746.73579302447,728.2191198742,586.736576407654,746.657211692024,519.24792740853,599.171167297445,724.885157730916,513.096926705373,682.059287164574,694.720797581182,711.980623250297,622.943064897965,586.471066335,596.546684125654,696.940365615119,0,0
