success,rea_time,mov_time,initPixx,t_draw,t_kbdown,t_eyesfixed,t_go,t_disap,t_movStart,t_movEnd,t_cross,t_end,goResp,hitGoal,goalY,trajectory,posMovStart,posMovEnd,Var1_ 1,Var1_ 2,Var1_ 3,Var1_ 4,Var1_ 5,Var1_ 6,Var1_ 7,Var1_ 8,Var1_ 9,Var1_10,Var1_11,Var1_12,Var1_13,Var1_14,Var1_15,Var1_16,Var1_17,Var1_18,Var1_19,Var1_20,Var1_21,Var1_22,Var1_23,Var1_24,Var1_25,Var1_26,Var1_27,Var1_28,Var1_29,Var1_30,Var1_31,Var1_32,Var1_33,Var1_34,Var1_35,Var1_36,Var1_37,Var1_38,Var1_39,Var1_40,Var1_41,Var1_42,Var1_43,Var1_44,Var1_45,Var1_46,Var1_47,Var1_48,Var1_49,Var1_50,Var1_51,Var1_52,Var1_53,Var1_54,Var1_55,Var1_56,Var1_57,Var1_58,Var1_59,Var1_60
0,0.501599479999641,0.310240640000302,7981.41991988,8036.52899652,8036.52916228,8036.65400884,8037.33566948,8037.82083124,8037.83726896,8038.1475096,8038.1475096,8038.14789952,0,1,540,3,11,0,3.34663437371365,-3.58881277967062,-2.19544370284177,3.25209056761026,-2.87702909076932,-3.42491169737357,2.07658805455099,0.858437461979805,-2.32134894293777,-2.46205187506785,2.13244978321385,-3.11783814639436,0.943847870425784,-1.48248138081646,2.95733034758395,-2.47029772338304,-2.22744867461155,3.33078325450138,-3.09227265296426,1.72671194326207,-0.0225085813547912,-1.87048354420074,0.0165467170275946,-2.97130516864638,1.16197073199656,-1.37206221550851,-2.74804616163725,-0.0862159360485282,2.38273238299984,3.17558268612383,-3.27952017612127,-3.08918388686143,-3.47730595383767,1.73608109076608,-2.96737411836297,-1.89851816959803,-2.31362458018959,-2.63835873869762,1.89317680162717,1.44811158558792,-3.0530202509773,-2.13595618342589,3.32387209771439,2.83442082663755,-1.55385948832724,-1.65344924277341,-0.819168305945768,0.0361448816130814,2.92716487983492,1.14552986100858,-1.34753423938514,3.5261890854014,-2.72560975573225,3.26749902362847,1.39341422485022,-2.53648951484144,-2.25226222156607,-0.454090956034742,-0.155096094711062,-2.60897892979999
1,NaN,NaN,8038.14789952,8038.45403924,8039.51239432,8038.87902804,8040.19333112,8040.67977704,NaN,8040.99633192,8040.99633192,8040.99647032,0,0,679.101366841085,1,0,0,6.01528854770858,4.1390446440181,2.54925012679919,7.40211729884903,2.76093374105455,7.26475509377098,2.86041855775388,3.67388360002912,2.86833267907761,8.19537622310812,7.24544679839127,7.6224501515684,5.90050147130228,7.82253073957926,4.58728997362949,4.17775785938352,5.53424203858843,3.16174899098384,5.91442773808464,4.36465672208358,5.12424593581157,1.41815184648334,7.24003436057444,8.40028773865261,1.4918325651083,2.76530447485199,6.59344064883517,3.24072017476594,6.69241178448778,3.17629954447216,5.46095689497008,8.51840337216673,7.39012398434576,4.85922217661426,7.09040852237289,8.01817929590233,1.5173105641832,4.81102759564055,6.186484478052,6.93533868439596,5.05474965686284,4.23166501627345,5.79032587777975,4.05698304168099,6.21675682082199,5.31722785987597,5.6937875708168,1.46465648685975,6.76885312190192,5.99833276526553,7.13714653408731,5.5060422459978,2.56901554673334,5.3083797259803,2.65205376796545,6.35684558179678,4.89522838629919,7.59102518539818,5.87973846662257,4.04207404798087
1,0.427377400000296,0.325345639999796,8040.99647032,8041.29569312,8041.91240984,8041.654006,8042.59327224,8043.0792382,8043.02064964,8043.34599528,8043.39606844,8043.39622052,1,1,470.449316579457,4,10,16,-3.15720791018167,-0.524369427217445,-5.54023582202033,-0.586961189469632,-0.468694416579948,-4.05775342087421,-6.07348889026205,-0.440604942373289,1.01557597017731,-5.50728203072962,-3.49992049168298,0.110943587482222,-1.6229843275181,-2.18710934270437,-1.00170797353191,0.036747556361781,-0.0731074576226405,-1.32947941227492,-1.82937918380847,0.197854008970591,0.447387989078556,-1.83000064648486,0.0868204749897599,0.847801522923937,-5.70511781289943,0.884580181914702,-2.23774486381218,-2.85051787073734,1.08112324606234,-1.554414923557,-1.98985758780675,0.766965961099276,-0.12180508707477,-4.06728810215471,0.710510779563338,0.879907143425226,0.84387407370716,0.614122902052748,-1.30681077673293,-0.342058348154732,-5.75213212358122,0.670007805178176,0.493088347274524,-5.70050665247322,-4.33223585243571,-1.55419542874974,-3.33118676143325,-5.79403021035403,-6.02546619272761,-2.7397664003501,-0.431324363851614,-2.82631095608877,-3.32326657214577,-3.35049470116793,-5.13098446783007,-3.67158679623207,-5.48075907473117,1.0723053422884,-4.03160129136318,-4.83913544379809
1,NaN,NaN,8043.39622052,8043.695724,8044.88742168,8043.99568696,8045.568304,8046.05426548,NaN,8046.37087052,8046.37087052,8046.37098048,0,0,679.101366841085,8,0,0,6.47001063716112,1.92501219745277,6.40941548886717,2.66073833647569,5.433289627098,2.07088884845184,6.02749868207067,2.37754742432794,3.55478025133204,4.49014026381064,7.93380349181184,4.16499775740973,1.98436535757372,2.31197043018016,3.44395243498747,6.39502330213709,1.98942211263295,3.11066936910901,2.61432215618535,5.70339754702063,1.43575874854974,1.52502006888412,4.76943989641805,5.34943248489495,2.03160367708281,1.77653687030154,7.83749097738715,4.04360928117732,5.94817597918932,5.57079059513509,3.4836918856288,8.32422795667789,7.05466373488853,5.56016952438688,1.88719887913691,2.26408514334587,5.91768667784951,4.67675362867699,6.45979867934475,5.99286965853283,5.60092875122828,5.91436718091733,2.78858786673146,7.57034926164521,5.1148255875563,2.91011879218307,6.51257747621856,8.14788290185828,2.48811560455381,5.14838906628612,2.91291832943356,5.25045064573478,6.48686372784687,5.69562996772365,2.04674550680682,2.25863845962103,8.08049934722772,4.8599703396115,6.01857030321541,2.05042417390038
1,NaN,NaN,8046.37098048,8046.67074844,8047.22940444,8047.07071424,8047.90986556,8048.39629208,NaN,8048.71262808,8048.71262808,8048.71279372,0,1,400.898633158915,3,0,0,-3.52412401082284,-2.59970123164665,-3.47052308722617,-4.34505706462024,-3.4427110567045,-6.99739784979846,-4.33934917401541,-7.19253078025442,-5.74786033314928,-3.15388559548824,-8.16288742286269,-8.17385584970919,-4.59125805611137,-2.83013755771312,-2.60382605956081,-2.4504122531124,-4.56696400896067,-2.06486939211365,-6.88316857849252,-2.13863812851668,-5.72488883512737,-3.82203388948888,-5.19441218529662,-7.83367775543455,-6.64214971902021,-2.32741197197104,-1.96961541888366,-7.88025396966904,-3.22891145534522,-6.55414033127116,-6.6752993098608,-7.6195334834959,-5.7650604642537,-5.56909943309581,-7.61408162019636,-7.74253532711823,-8.59236604867676,-3.18812670289153,-3.63500780382557,-4.95693687098557,-1.73270347055848,-6.58846067795736,-4.62888184583666,-2.9123020190861,-5.63357801029273,-8.29663063159983,-7.59087612725414,-4.73120739367188,-3.87977405028852,-4.86305943522741,-6.738320221154,-5.92823471632235,-6.97222818886674,-3.40561085295849,-3.58444816812854,-8.47096918188464,-7.06029734113709,-3.88815402157938,-2.58487246227704,-5.33891137494315
1,NaN,NaN,8048.71279372,8049.01245272,8049.47092768,8049.420733,8050.1515232,8050.63785228,NaN,8050.95425152,8050.95425152,8050.95436856,0,0,470.449316579457,1,0,0,-1.00311204512981,-4.16131371326998,-0.209176720069842,-2.94481611965028,-3.84746079994891,0.0307048764401676,-1.89924169876277,-2.14202581193701,-4.67204450683982,-4.50043705224778,-3.2420830963746,-2.53224131084456,-3.74534420341309,-3.19059359604297,0.643567546280577,-2.60270705384712,-5.66753238758102,-3.09015139242345,-3.12848454486308,-0.293313489712421,-5.10970263528418,-2.69901819291255,-5.42820960003137,-5.92528759994663,-1.53103231205947,-2.40414237288493,-0.0517606096772698,-1.60834850567501,-5.7220071746453,-2.06149085505311,-5.75508400555184,-0.978287199599745,-5.71243030059246,-1.18526506824661,-1.67370729592976,-5.76468941925179,-5.89256910464107,-2.51304575050701,-0.276500099381823,-3.8256280683173,-3.94177306034397,-0.862300050444753,-4.29221464343758,-3.78135762009866,0.46854356939738,-3.81507392723634,0.0533417465677393,-4.00012345451189,-2.86683898690775,-4.39187134621416,-2.22033491575663,-0.628907655854433,-5.51143706521232,0.0526433129749746,0.599485486567643,0.903767473505638,-3.41892737530213,-1.19980415412386,-5.11835038043525,-2.37396787535761
0,0.377850079999916,0.433380399999805,8050.95436856,8051.29575144,8051.70417884,8051.64574396,8052.38505552,8052.87098432,8052.7629056,8053.196286,8053.196286,8053.1964328,0,1,540,6,8,0,-3.48541517378353,1.35344561190623,-1.51501179747394,-2.51585804438048,0.459269839714644,1.9954673378372,2.57872634320535,3.09941203447283,0.0838639533752836,0.8672078479783,0.756395363114562,-0.178700104906659,1.98641876867824,-3.1031915801257,3.18588299479931,2.64111683033561,3.28208806934111,-2.85453204170203,0.0636746040188974,-1.01529474808884,1.77607926287299,-2.69563573542956,2.05706237119838,-0.915546894242323,-3.2657699194382,1.93560607210269,-2.43227905848456,1.26430713988464,-1.771571591837,-3.36636547923765,-1.29505505797709,0.834226031847071,2.61516088999348,1.69088690089646,2.75255617840027,-2.18001518526335,0.824809889488398,-2.50968596182444,1.40940792313149,2.73408200087739,-2.84571778573023,-0.61238540196491,-2.19450421550982,1.62544042212764,-0.832363189854266,-1.54603072499891,0.0993648330337411,2.36698440214963,-2.97615187805651,-1.31258947032503,1.10473793493637,1.82098079302,-1.29613444085397,-2.8078888929322,1.47576377792111,-3.43149710627705,3.38918751728769,2.76370257447489,-2.90419009216568,2.88584474971254
0,0.0779193600001236,0.72472912000012,8053.1964328,8053.49583776,8055.0791434,8053.89577884,8055.7600256,8056.246079,8055.83794496,8056.56267408,8056.56267408,8056.56282088,0,1,679.101366841085,5,3,0,3.55162375367233,5.44770688756294,4.72199247261287,5.59354576443644,6.43967617377624,8.3973277922775,6.07611441714094,1.87758443714534,6.67341857739191,2.29194259253935,5.77496417831305,7.32644760680656,3.89057205573804,4.28061327618738,6.26847415433846,4.78455244819483,5.24905758976094,4.72023732053808,5.12798936455283,8.57775258312404,8.04694926977669,3.56339158863932,6.46686663938961,1.93118443548985,8.24875364995343,4.58669813639791,8.11204110552671,3.62889858799708,2.22435991083475,3.40419749780424,4.25410491435227,2.50407094994216,8.13947023550554,2.64065198902776,2.89235572893604,6.1713198638366,5.53148167859421,7.12390600018357,4.63504001168981,2.85733912229429,5.51540962372073,5.55602607046344,7.75329506528989,7.40416104768792,1.85308815482895,7.53187269054269,3.52786726620965,5.62924661678951,2.96479330299364,4.532468416602,7.1404571546448,2.62212315530508,4.5937461931485,5.2410136287674,6.00322899084964,7.56705961109287,4.2286549703631,7.29133409288054,2.27380587060817,6.95551419198286
0,0.519456680000076,0.28333547999955,8056.56282088,8059.66252796,8061.0543938,8059.83752388,8061.73493076,8062.22134504,8062.25438744,8062.53772292,8062.53772292,8062.53787896,0,1,470.449316579457,6,11,0,-5.51568280933288,-5.50320964664277,-0.508248019742615,-0.409388501999103,-1.50695888332853,0.652421101165143,-0.148402394325774,-2.14866401312471,-4.73431156210811,-4.4694128836046,-2.95922113542729,0.687203072356652,-3.9120769326328,-0.567869786044877,0.258733816144323,-4.28022537446227,-4.29284424781622,-4.3594674606,-0.520402944075341,-3.50056186780217,-5.38341361223847,0.300784999870364,-5.52341548297959,-3.51016073527692,-0.888980604316924,-1.9287881103984,-4.6497389779332,-0.373975704394641,0.45506796245035,-2.25519466340591,-2.71655341290153,-5.28868892794006,-5.60996531582478,-4.67563689666519,-1.44635352262661,-1.74099763043117,-3.68223753216823,-4.11098103275244,-3.67811643662569,-2.6992920284819,-2.87060496703109,0.164975526980593,-0.300031523002277,-3.83759436419774,0.593395456660329,-5.11766505797644,-5.94480995567304,-4.65210351849805,-1.16136324315549,0.815755218080088,-4.9682561194662,-0.041615855930518,-1.29749462163604,-1.53383771716562,-4.94166496453735,-3.09523470576585,-4.43229619238299,-2.93032339095485,-2.5175505197743,0.973244201136745
1,NaN,NaN,8062.53787896,8062.86257284,8064.08759084,8063.12094372,8064.76857168,8065.25453424,NaN,8065.57104928,8065.57104928,8065.57122044,0,1,470.449316579457,5,0,0,-3.89061043383648,-0.204746489889514,-3.83664930262549,-4.40520014585137,-2.34940087659756,-0.849954547662607,-0.274846551805381,-1.74509367053427,-2.69718321359917,-5.87766828334487,-5.91992441244139,-4.69697190074108,0.927953858102819,-2.01972329350093,-6.08161456387255,-2.62594976552734,0.871967092177249,-3.12019797644764,-3.63880390448612,-5.78004639545087,-1.51019759773202,0.447354308824011,-1.99855971225371,-3.62246816954992,-0.230162459780229,-3.77333666040157,-2.99215944703448,-5.46948904397067,-2.720846895203,-0.842886219612613,-0.0898224016348881,-3.3290075384586,-2.88473450284185,-5.38510295432719,-4.71600640193419,-6.0475448409612,-2.20102150938663,-5.13359788845721,-0.586364068069387,-5.25725906010974,-5.25480675819649,-1.28272529395453,-4.66799670790689,-5.74360926184394,0.66420852780847,-0.691865184498789,-4.93926669509486,-3.70611567469004,-0.0650844982072261,-1.08787588329352,-5.35370857860431,-5.91230808277211,-2.50530708898967,-1.77503714942868,-4.2995310451431,-4.24679738066248,-3.42435008591017,0.647589093498376,-2.39861078285783,-4.8057103678655
