success,rea_time,mov_time,initPixx,t_draw,t_kbdown,t_eyesfixed,t_go,t_disap,t_movStart,t_movEnd,t_cross,t_end,goResp,hitGoal,goalY,in_out,up_down,difficulty,attackerY,posMovStart,posMovEnd,Var1_ 1,Var1_ 2,Var1_ 3,Var1_ 4,Var1_ 5,Var1_ 6,Var1_ 7,Var1_ 8,Var1_ 9,Var1_10,Var1_11,Var1_12,Var1_13,Var1_14,Var1_15,Var1_16,Var1_17,Var1_18,Var1_19,Var1_20,Var1_21,Var1_22,Var1_23,Var1_24,Var1_25,Var1_26,Var1_27,Var1_28,Var1_29,Var1_30,Var1_31,Var1_32,Var1_33,Var1_34,Var1_35,Var1_36,Var1_37,Var1_38,Var1_39,Var1_40,Var1_41,Var1_42,Var1_43,Var1_44,Var1_45,Var1_46,Var1_47,Var1_48,Var1_49,Var1_50,Var1_51,Var1_52,Var1_53,Var1_54,Var1_55,Var1_56,Var1_57,Var1_58,Var1_59,Var1_60
0,0.371978440000021,0.441871040000478,7177.27776436,7198.33373336,7199.15868852,7198.6001768,7199.79491416,7200.27542696,7200.1668926,7200.60876364,7200.60876364,7200.60921248,0,1,540,-1,-1,0.5375,-3.4625,8,0,3.52671846397401,1.7913722699424,-1.30978222876493,2.85443210562018,0.653931948950456,2.59867508175881,-1.39768281375345,2.29619680808301,3.17317641924615,3.45132981945252,1.82405043005408,0.626306359544253,2.02325643723711,0.687960826575333,-1.25092304339047,2.6086166433311,2.36673002957699,1.37417770581605,-0.242731726878144,-0.865970587779576,-3.37086637501481,1.77534209666138,1.40740349342643,-2.90802080121549,2.0452576912427,0.248828375819369,-1.85661844258068,2.21185214199484,-0.0204115211297671,1.51135945422609,-1.0391104359939,-2.7862963944729,-1.82997070037818,-0.939640580761077,2.33861097085346,-1.32733188744998,2.9939692849587,1.90165440229112,0.544210797380868,3.50198898447348,1.6198611426247,0.925150423143626,0.760568067865091,-2.42619766979692,0.615668248252407,-2.18225291897382,2.54296053162415,-2.43415910519933,-1.21760127728789,-2.72298366251142,-1.99830297641039,-2.90145631278355,3.58945763278885,-2.2850047966916,1.23704237284174,-3.0550624566191,-2.6097458901986,2.51663060088899,-1.92395326513587,1.86404885663107
1,NaN,NaN,7200.60921248,7202.20862688,7202.5670318,7202.40857956,7203.20200812,7203.68381132,NaN,7204.00089336,7204.00089336,7204.00104136,0,0,625.725260960204,1,-1,1.5125,-3.0125,0,0,3.8798190320091,1.34267653252819,1.58322378531265,5.3173122828719,-0.50164950396186,0.934442385234732,0.249899882463006,4.91019804096948,1.6102700389549,0.0300521557906883,5.78456424301228,1.31469913495458,2.65290635379741,0.724486329296599,1.81195057552446,5.65239089861501,2.79774739991347,0.781463786031875,-0.377755397408181,0.0542752341959369,5.72510465859454,-0.573757913548555,2.35338511118214,2.25529825817476,0.896577281904555,-0.744927904727069,-0.846520240084147,1.03303433299434,2.37160256375882,5.83684759859678,1.97222346586736,0.775029926099278,3.28073934841093,-0.73265642193871,0.731992310091285,2.79269333225485,1.76824237586396,2.43589100491755,6.03332994180629,4.63911173479173,2.79801480577264,5.53345617933317,-1.04366331511803,2.60972205108845,0.402867565217656,5.94340559791568,4.7092801059065,3.6724943975394,4.20477923079635,-0.487178939278857,5.0367492229824,1.18126549368409,-0.395760687095369,3.98629301598275,4.86358616294743,2.01629305124658,-0.763055583487735,4.47738912435135,2.97355062071529,-0.526582990806814
1,NaN,NaN,7204.00104136,7204.32523496,7204.56711704,7204.49189204,7205.20177272,7205.68377428,NaN,7206.00053016,7206.00053016,7206.00069076,0,0,540,1,1,1.5125,5.5125,0,0,3.23968547771226,-3.23344441695924,3.11500370011248,1.53384970400322,1.97748603045883,0.0478904934878277,-2.40728122982393,3.47398867746304,0.439490692554113,3.49662838242995,1.9862620204972,1.08336740386965,-1.51029168623114,-1.19483438500141,-1.23737556656798,0.696118689066871,1.41793320361332,0.263783044431553,-2.75080666285831,2.90536681125662,-2.64607469671921,0.455302766251489,0.76475752086079,1.67991981803606,-2.13681724891528,2.6200503207779,-0.566223918710308,0.813867577357921,-2.79905140434564,0.34830355070683,0.434052686188741,-1.78535337206083,0.490188560405949,-0.920627173197944,0.924385033937821,3.08353914284556,-2.35119384539283,2.81468557857067,-1.78159952548746,-0.436425515861733,-2.93039244952873,-1.22707855813351,-2.81870940715522,-1.83820667214051,-0.160281753289651,-3.09207692099662,1.95892354821038,0.392151210969864,3.04381208172013,-2.90467279953053,3.24971690869562,2.8014192633955,-2.7181128257532,-2.30316217506942,-3.33276667917088,-0.607390005573837,-2.68753584623175,3.05496191634206,1.40146309209245,3.44670682567985
0,0.582104439999966,0.216511159999754,7206.00069076,7206.30044888,7206.3005466,7206.4336048,7207.06850804,7207.55045152,7207.65061248,7207.86712364,7207.86712364,7207.86726804,0,1,368.549478079593,-1,-1,0.5375,-8.4625,13,0,-4.43362138646195,-1.47118735325304,-4.54777629507779,-8.55332890782828,-4.65420116864543,-3.33144802766411,-5.66390232468041,-8.36376834190752,-7.15417414127942,-3.56236306605701,-3.32983635749184,-3.84750081422173,-7.9756713495933,-8.07310731711915,-4.52770863986498,-7.95494508414071,-6.06173896334179,-5.94241787011653,-6.51968330232783,-4.65457012063224,-7.94354873320221,-4.93047342318313,-7.53415170834103,-2.96213569742295,-2.4002641605022,-6.6736757175769,-6.9193710433639,-2.31489181569503,-7.7895684206087,-4.68079639633033,-3.3572084243735,-1.85166723497992,-8.48579891262537,-8.01052601767934,-4.72410091308939,-2.87083966765336,-5.44574092227048,-8.49890420570329,-2.44032719359049,-5.60289393518067,-2.42652565670126,-2.00006794094675,-5.26562782363798,-3.32135945631354,-5.91442495034316,-8.18848222829501,-6.56912623662126,-3.20942636505926,-6.97337278014181,-5.27611704229421,-1.77823288923764,-5.4422252107855,-3.86790590253727,-5.26267851254182,-4.82721056128526,-3.31807340501664,-1.88297191055373,-4.3757688736904,-8.00117101672895,-6.33611270944476
1,NaN,NaN,7207.86726804,7208.1674974,7208.56741124,7208.35028424,7209.20185968,7209.68381708,NaN,7210.00058484,7210.00058484,7210.00075972,0,1,368.549478079593,-1,1,0.05,-1.05,0,0,-4.00625431848165,-6.19016940879673,-7.3437127420673,-5.46743343676825,-4.82241578214463,-7.18834926254607,-2.96048781121842,-8.47082659666808,-1.79168179232992,-4.4750275394726,-8.02332247988604,-5.63852342962772,-3.10258052905327,-6.33747680299545,-3.06562703933377,-2.5055370365993,-6.59608570593322,-8.26213507759586,-5.25634934782527,-4.76318621046213,-1.9268099875023,-5.87227510323693,-2.49397629633614,-8.35093126363176,-3.64793458687177,-2.41572808944482,-8.14456144653752,-8.5261143986858,-5.15375638308879,-6.97905637141179,-3.78616138520926,-1.77000744252498,-7.73181115557841,-4.71571619184535,-3.28762375828141,-8.58090478323868,-6.09608486816395,-4.93466274627313,-8.48156957148567,-7.48658482406243,-1.75624160830541,-6.19502993743524,-3.82393585411194,-3.60022349946359,-1.44937696175899,-7.20929063818954,-6.89586478986095,-5.55641533082952,-4.83922023139383,-3.17777842274246,-2.49466468357827,-4.06969425794003,-6.76733665653651,-1.783470507154,-4.5612466160717,-6.63979016619535,-2.85206589100503,-1.97884129574615,-5.94145784615131,-2.61108883119821
1,NaN,NaN,7210.00075972,7210.30078064,7210.51707764,7210.41699236,7211.15200932,7211.63444228,NaN,7211.95046088,7211.95046088,7211.95072456,0,0,625.725260960204,1,1,0.05,6.55,0,0,4.52847238863692,-0.67938276023729,1.31448297828469,0.767166046692989,-0.340842534434675,1.1430742115969,0.342360578602986,2.11686468575253,1.14354396780762,3.19872955173393,0.0831966915790527,0.188149632955176,2.2199628302769,-0.517371846681335,5.19294349262852,1.78407999746542,1.7836565298011,5.00923610892148,5.82319520199847,4.71788961251507,1.86870778763592,0.893558648602616,3.84299304117447,4.87447165435526,0.185872800778459,3.04622804592946,3.98358397907948,3.89806691754307,0.0420923104315802,3.92790692898305,5.59430346383988,-0.831852944226784,3.23993573398864,2.46980480218732,-0.125367641817959,2.75268899047143,3.35614949819812,0.788353908802932,1.763271891718,-0.796580056212314,3.64061187468464,4.82271508263988,2.91008754880663,-0.722714713880971,5.32847965921774,-0.160607425831125,-0.0960719941352162,2.21529477434089,2.34557432321631,4.31948122866857,1.69448798073503,0.904847646756331,0.219468494595039,0.186782025432701,5.87720880111622,4.5997128122342,-0.319506090772046,2.32917656702627,5.94483253006394,5.07358593879371
1,0.523440560000381,0.23464864000016,7211.95072456,7212.25085912,7212.25104564,7212.45033492,7213.0852156,7213.56713556,7213.60865616,7213.8433048,7213.8842788,7213.88442932,1,1,454.274739039796,-1,1,0.5375,0.9625,11,16,-1.27308695450864,-1.66313591487399,-1.98513840552646,0.178684545106296,-3.2913167722618,0.951462252124401,-4.05261895169046,-1.91962891111173,-4.70848124999947,-2.05990373213271,-0.840561240682531,-3.01093137855805,-4.99174460780186,0.410419916510402,-0.702669365722891,0.14690486581255,-2.58755530863657,-0.814912594408054,-0.193674670812735,-1.27618117871669,0.896903690316283,-4.92984957744575,-0.44171641993535,-0.954862179528619,-5.31018681487232,-5.53797647390081,-4.08758674189935,-3.75400189332751,-3.15207513038705,-5.83245087135632,0.428498421880676,-4.62817754809384,-3.52955213125311,-3.57057813492598,-4.55057318624301,-5.10443476666375,-3.57576958869948,-4.37852646738946,-5.08270594682986,-4.79458532604438,-1.18547468553385,-5.414607049001,-4.07804808783851,-4.52743571632819,-3.39154421235082,-4.4392698360888,-1.65597810279067,-3.03236185303594,-4.66956415885498,-1.84125280994001,0.164866544380496,0.734572892482481,-5.10950446128709,0.805985668441518,0.674771491454936,-2.38483623903356,-5.76600643069096,-5.0892520721853,-4.90690133819791,-5.03933456831564
1,NaN,NaN,7213.88442932,7214.18375208,7214.50055916,7214.33365888,7215.13540996,7215.61746636,NaN,7215.93385996,7215.93385996,7215.93398228,0,0,368.549478079593,1,-1,0.05,-9.05,0,0,-6.04161137319367,-2.44310675492175,-4.96767643924655,-2.4700909335259,-4.4535673942629,-4.33592126907843,-3.20768212931016,-3.50904632662628,-7.6789772029507,-2.76156590535478,-1.94466803617344,-6.99687370350653,-8.49523303189713,-3.02458660104987,-3.15314955943021,-4.35064985905832,-2.57272420765864,-4.177202277121,-2.00120645017811,-2.14524957743327,-1.51306044851178,-7.34423816515483,-6.32384916889485,-8.03488841044135,-8.1877457611718,-2.2455117258479,-2.10716981101543,-4.16782577072393,-1.54886491459559,-7.86863613071602,-5.759180047789,-5.05317819244497,-7.62904546099068,-2.73299973652656,-5.9529457463384,-2.90437282772268,-3.45578290245208,-1.72224584341013,-4.08396054758887,-4.19219697464482,-6.55453251618943,-5.19232729137255,-6.66406176680888,-8.56314698182036,-4.47235233420726,-1.90964720476373,-5.95099325598855,-2.01075684923218,-5.15574904806984,-2.15922181635272,-6.37363625285163,-6.74887376336887,-8.03033224573506,-8.44291260958159,-2.44324622297625,-5.24278358429033,-5.59050580424868,-2.38241907467794,-6.31040435462952,-4.70462786703469
1,NaN,NaN,7215.93398228,7216.23420264,7216.234315,7216.408717,7217.04347132,7217.5255846,NaN,7217.84248112,7217.84248112,7217.842704,0,0,625.725260960204,1,1,1.5125,8.0125,0,0,3.89811286934357,5.57142739382296,0.967630841863939,0.330477620932232,3.32762261883334,3.08167397019093,3.8143429809257,1.22956146934958,-0.399767763596945,-1.09306678826975,2.97164272715908,-0.723686325927259,3.38190521829846,0.316732360976781,2.27862952419936,4.97894751339849,5.98405249867899,1.62017264820579,4.37671992166648,4.39646882980507,0.832722289170482,5.36568909675255,3.74600247635689,4.87346739338997,-0.264216802158153,4.40159578401159,4.09149553373493,1.82672418249222,-0.852674473782986,2.41524517405774,2.86164564151581,-0.716737031164402,4.16536728462782,1.71289442141005,1.28684941472076,2.54789955022829,1.32492880868158,2.21942985696604,3.19918982354811,4.11931057254575,5.50800774861847,1.91100838302812,3.44876937149234,1.40885356365186,1.46264510030573,0.586191450725365,2.93390254942838,2.35476821635464,2.22629653507318,2.71310974842034,4.77808591970308,-0.92965929925405,-0.572293520860969,-0.637071043441519,1.43664741719714,-0.63129423758214,5.9183000777483,4.53622633244472,1.74413814684671,3.14822103162031
1,0.515206199999739,0.225187879999794,7217.842704,7218.14220076,7218.2754012,7218.29207096,7218.92701296,7219.40888672,7219.44221916,7219.66740704,7219.72563152,7219.72578276,1,1,540,-1,1,1.5125,2.4875,11,16,-3.19824467899411,-2.72575704941823,-3.42097828251066,2.28380709003326,2.78254074005436,-3.36166178197476,-1.82176771295716,0.171656156167382,0.447555002362265,-1.64509361214675,2.97690293577243,-1.47054411015217,1.25776378049371,-1.23653433042819,2.88111592479339,0.368747286811469,-0.837266992255165,-2.6694694993358,2.72095816912076,-3.49033927393942,3.40030315117114,2.11148594310769,2.84590231509486,0.35100555967892,1.59735156172583,2.76524140540667,2.1009811883025,-0.927286530631044,3.0716912229647,-1.76396864825116,-3.54587154880654,-1.36655749538154,3.33675729933585,-3.16044961853471,-1.56078583311946,3.36691530878801,-3.49994392984473,-0.0858374365485628,-2.90555582450367,2.58029370903313,1.95484122578893,-1.88122554473213,-3.28484586563704,0.269810977726369,-0.264808873130471,-0.516590627306432,-1.75648574358854,3.3956984810476,-1.89782780765105,-3.06145954266923,2.65012559098662,-2.90421524609611,2.03743794854765,-0.654824800712448,-2.18580661840744,1.82808100564761,-3.12569338741412,-1.07774890581041,-0.73789247556807,-1.63717093490483
